"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,0,0,1
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,723.94074,723.94074,0.0156792976853069
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,7.94469,7.94469,0.549029386895093
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.10121,0.10121,0.908092007882239
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,40.00176,40.00176,0.683105367509427
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,7.10974,7.10974,16.8492230330442
"AADAC","Aadac",0,0,0,0,0,0,0,0.11386,0.11386,0.897778895013736
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,4.46572,4.46572,0.215530738249794
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,32.38599,32.38599,0.496946972866962
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,11.08208,11.08208,4.06696771858267
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.08856,0.08856,3.53709150927219
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,11.34775,11.34775,0.952904564259346
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.11386,0.11386,7.0611875220704
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,2.13798,2.13798,2.67540041682866
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,28.29979,28.29979,0.731381055404606
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,8.52662,8.52662,0.983580710332381
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,40.52044,40.52044,0.189266443226517
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,43.22771,43.22771,0.0430214225425644
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,24.35275,24.35275,0.23184527648217
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.83495,0.83495,62.6237984686231
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,46.07413,46.07413,3.04078954477403
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,15.72492,15.72492,0.390997963916519
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.0253,0.0253,0.994299879710004
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,1.08797,1.08797,0.538136084330713
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.78435,0.78435,107.605856474346
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,1.10062,1.10062,7.16904390132437
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.0506,0.0506,1.29459895932483
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,33.05648,33.05648,0.301246047741869
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,30.9185,30.9185,0.0608148148148148
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,1.44219,1.44219,2.93604688141927
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,93.07177,93.07177,0.038243864232596
