"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,16.26198,16.26198,0.0579307819844537
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,200.41955,200.41955,0.0564322662158001
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,6.95168,6.95168,0.617592466833005
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,1
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,45.86871,45.86871,0.597595332436786
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,9.62064,9.62064,12.8657800283222
"AADAC","Aadac",0,0,0,0,0,0,0,0.46551,0.46551,0.682356312819428
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,6.67238,6.67238,0.153541751929214
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,10.5827,10.5827,1.43240062046558
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,15.29991,15.29991,3.01458286170496
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.24827,0.24827,3.08453806735188
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,9.86891,9.86891,1.08255817127323
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,1.0862,1.0862,3.77009602786566
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,9.43443,9.43443,0.804581850661704
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,4.28273,4.28273,4.05648430514778
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,2.54481,2.54481,2.64335737787545
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,19.98609,19.98609,0.374458796278869
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,11.73097,11.73097,0.149457504023653
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,73.61338,73.61338,0.0787783013359445
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,251.03651,251.03651,0.455932114755914
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,65.91687,65.91687,2.13910964952983
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,3.19653,3.19653,1.55828974573437
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.43448,0.43448,0.710679595858197
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,11.82407,11.82407,0.0876174256690739
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,1386.02317,1386.02317,0.13843064351982
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,35.31704,35.31704,0.414665870346262
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,2.54481,2.54481,0.383689299755605
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,14.95854,14.95854,0.642877105299106
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,19.48954,19.48954,0.0947370056461329
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,38.79288,38.79288,0.180192645853563
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,53.1928,53.1928,0.0663864572415524
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,5.27583,5.27583,0.346114962748619
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,34.57222,34.57222,1.70783612418155
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,5.12066,5.12066,1.51207391577597
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0,0,1.06009233333333
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,4.43791,4.43791,0.421562082981636
