"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,0.232219836636441
"A1CF","A1cf",0,0,0,0,0,0,0,0.063683,0.066053,0,4,2,0,16.1244153333333,0.0583961542940074
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,4.58195459120122
"A3GALT2","A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,0,0,0,0,0,0,14.8929526666667,0.0671172325478098
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,0.367624426480969
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,2.25089866666667,0.307607250343905
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,17.868209,17.289999,16.874782,598,489,514,3.297399,6.51755220619108
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,13.5970304342379
"AADAC","Aadac",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,3,2,4,0.485872,0.673005480956637
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22497266666667,0.236687921768015
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,0.122870282155183
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,13.5382,8.893211,8.17232,443,347,312,55.846109,0.29185931910778
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,8.140723,4.98695,5.632312,1061,924,810,19.618997,2.38311443244952
"AAMDC","Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.389476921742566
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,3.22145289057611
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,9.629091,8.985329,7.802869,494,440,373,0,11.7662273333333
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,6.64917535990559
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,1.37995798989476
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,4.2653063336759
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,1.46755996755044
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,15.491333,11.332325,7.790263,438,436,306,121.357049,0.0642253639183469
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,10.663442,6.340196,5.078783,777,556,484,8.239964,0.205924936504082
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.0664712535450103
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,13.6556180689694
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,83.1200752484538
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.245212064712731
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.767330544546121
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,0.02167,0.266152,1.014407,2,4,5,0.812543,0.619909155258662
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,24.315816,17.365586,16.698512,805,444,402,52.444161,3.59265645502415
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,7.00101361978953
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.012157,0.012809,0,1,1,0,31.344221,0.0420509638079293
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,0.709665953099544
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,0.307074,0.113031,0.186072,11,7,9,214.166965,0.00902144837459908
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,11.353326,7.85688,8.990523,435,267,221,0.009045,7.10610957225231
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,0.057533098190625
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,0.0875327985590005
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.03239,0.180298,0.191402,3,5,3,1.137784,28.4179890640651
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,4.005154,2.663769,2.895076,137,128,111,1.70077,3.42675989933735
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,0.152634813755672
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.160194981208696
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.238192,0,0.073851,1,0,5,20.783434,0.0459064443191097
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.0858827732873674
