"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,18.566797,13.425058,13.989052,182,164,192,9.26790433333333,0.0973908567450943
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.232084,0.063162,0.004811,1,5,1,16.220613,0.0593024572741207
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,20.514891,0.866071,0.291101,519,12,14,2.97925533333333,1.0730145824604
"A3GALT2","A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.438529,0.497281,0.204317,5,8,4,11.568825,1.44313662308662
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,13.724676,11.545392,14.652328,285,366,484,13.5687636666667,1.63755073611714
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.153016,0.028124,0,4,1,0,8.37407766666667,0.106677161802905
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,13.508489,16.738215,19.022055,343,455,490,30.1619223333333,1.10066675711181
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,15.145339,10.858128,8.980095,461,652,560,16.2866656666667,31.0114788282768
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,15.380365,0.0610487006852412
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0.011945,0,0,1,0,13.2169563333333,0.0703385433952119
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,16.560745,15.539194,12.933418,429,514,491,16.745054,0.0655008620054542
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,41.413864,42.849994,35.918127,993,1426,1315,96.488751,0.235291016635687
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,5.37115793076775
"AAMDC","Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,9.532266,5.352023,7.306193,48,40,51,19.3151253333333,1.8496329401594
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.253842,0.182542,0.515652,1,1,6,0,2.18752966666667
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,12.1045114920472
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.160926,0.129803,0.240983,5,6,12,10.131919,0.289527229462114
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,4.02726,4.870429,3.692426,318,528,425,22.3376433333333,0.351345358635898
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,57.596898,71.665882,48.347544,392,756,544,10.569663,1.79867670591039
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,5.317648,4.075445,5.487073,154,175,182,43.666992,0.180883943710977
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,104.747918,110.344793,89.985303,3116,4632,3686,139.696805,0.0754691266798844
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,2.628604,2.250706,1.439504,225,282,185,28.594794,0.0471687238865953
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,16.465887,17.429714,15.691305,276,428,414,30.1587223333333,0.29498790852218
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,2.51574612067829
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,20.259450925185
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,4.587007,4.124422,3.096802,771,969,758,13.6558153333333,1.04379619866935
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.0666240856640624
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,4.66571,1.657589,2.029971,35,13,40,0.368363333333333,0.884064173988877
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,0.74035479729188
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,0.897674306993448
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,0.709647,0.545438,0.159905,39,1,1,28.3998213333333,0.0433058867568628
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,10.668791,9.107596,7.662206,513,604,633,3.178246,5.67963630352705
"ABCA6","Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.332708,0.201177,0.26943,9,14,15,116.877734,0.187644377351197
"ABCA7","Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,42.45405,52.111696,39.796489,1395,2369,1835,0.296992,22.6233109636246
"ABCA8","Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,0.244206,0.413915,0.141469,6,7,6,217.002767,0.0643718832553472
"ABCA9","Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,4.035468,0.682386,0.739211,21,27,35,71.051303,0.0528926358671589
"ABCB1","Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,2.608253,0.395444,0.72192,71,28,37,5.47972433333333,5.34842989462566
"ABCB10","Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,4.784184,6.526598,5.638334,213,397,298,3.46895066666667,1.44431578718106
"ABCB11","Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,1.713152,2.345963,2.257067,8,17,14,37.9252723333333,0.0257964711991696
"ABCB4","Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,2.613821,0.236469,0.112046,20,11,9,0.290904,2.87160625422185
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.031732,0.170177,0.033162,3,5,1,251.873522,0.00395454609913647
"ABCB6","Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,39.80428,30.533985,38.474452,602,671,937,98.0426783333333,0.104937021509936
"ABCB7","Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,6.507055,5.040312,4.209266,171,274,200,0.332785333333333,6.22893634283691
"ABCB8","Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,25.8210767713457
"ABCB9","Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,13.522164,13.523465,13.352624,392,512,531,2.804119,4.11948241717289
"ABCC1","Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,11.500209,10.367327,9.302465,903,1271,1197,0.078357,8.97181762007696
"ABCC10","Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,36.128396,35.014973,37.78168,526,739,582,0.110797333333333,3.21710771121765
"ABCC12","Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0,0,0,0,0,0,24.0371986666667,0.0614844876948161
"ABCC2","Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.850080048044715
"ABCC3","Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.735677,0.386222,0.301105,6,5,4,0.037753,1.68485789328803
"ABCC5","Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,13.2184778943963
"ABCC6","Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.061076340457218
"ABCC9","Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,2.011239,0.868414,0.975146,245,158,167,0,1.59740466666667
"ABCD1","Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,10.618352,6.729346,8.415782,351,364,475,10.3287653333333,0.356387556914116
"ABCD2","Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,1.015291,0.95263,0.78988,101,128,108,3.89511266666667,3.61613706133288
"ABCD3","Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,25.9507902171745
"ABCD4","Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,58.610022,52.354869,50.095508,722,999,947,2.48702933333333,2.4374655867535
"ABCE1","Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,47.293811,49.347163,47.386876,1200,1864,1735,92.46756,0.378734083426021
"ABCF1","Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,2.36500785687364
"ABCF2","Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,19.522918,29.608502,27.332976,499,751,734,2.73144,9.14603486410966
"ABCF3","Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,46.460597,40.982435,31.451225,710,879,744,116.286335333333,2.1173366896853
"ABCG1","Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,2.981022,2.516257,2.216058,133,150,148,38.8820083333333,0.481640372089252
"ABCG2","Abcg2",54.978868,56.39503,59.840227,2779,666,1263,57.071375,0,0.032841,0.010415,0,3,1,20.899473,2.65172476981524
"ABCG5","Abcg5",0.010563,0.043488,0,1,1,0,0.018017,0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.0107806451045834
"ABCG8","Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.375379,0.464493,0.42013,27,45,55,17.679678,0.0607534740873656
"ABHD1","Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,0.400221,0.717874,0.22597,14,18,14,28.059534,0.0403276368207877
"ABHD10","Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,22.938499,24.352688,21.626771,576,818,829,45.387708,0.393532125651333
"ABHD11","Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,6.937606,7.064101,6.864255,76,110,135,0.109443,20.0647616266301
"ABHD12","Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,64.546737,62.306897,62.683147,766,1044,1187,0.054446,197.474625221838
"ABHD13","Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,2.367033,2.196661,1.88721,196,246,214,20.067703,0.19935503489235
"ABHD14A","Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,22.540257,19.428712,18.954588,283,320,352,4.60419966666667,3.68293623133461
"ABHD14B","Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,3.320588,2.072545,1.528819,54,55,44,41.663942,0.391377094659154
"ABHD15","Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,0.626613,0.218831,0.501833,33,16,41,157.985373333333,0.0148274625347086
"ABHD16A","Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,41.5221090540625
"ABHD16B","Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0,0,0,0,0,0,14.1934193333333,0.0709337801466591
"ABHD17A","Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,15.282057,19.663938,28.463204,503,831,1086,30.240615,1.5732045607937
"ABHD17B","Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,10.201998,14.689547,11.447473,457,762,669,48.3995476666667,0.462608689338674
"ABHD17C","Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,22.112876,26.685209,23.848278,525,820,771,9.06215266666667,1.21421830941543
"ABHD18","Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,4.011071,3.517854,4.147912,213,284,273,0.334188666666667,3.09648310608745
"ABHD2","Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,2.58763795503435
"ABHD3","Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,1.597983,1.039653,1.180823,33,27,32,119.859511333333,0.117344484050454
"ABHD4","Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,25.455379,4.883742,6.507743,182,133,112,2.82895033333333,13.2616032888387
"ABHD5","Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,10.403327,7.362645,6.909279,314,407,402,29.3573956666667,1.05905943600542
"ABHD6","Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,11.668832,13.764524,17.829011,180,342,395,5.16011933333333,2.03568973068595
"ABHD8","Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,9.661101,10.705984,15.55678,265,375,569,0.081767,33.1402920715213
"ABI1","Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,25.555257,19.141618,16.288946,935,970,821,89.80118,0.832341881460131
"ABI2","Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,1.33757351128922
"ABI3","Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.107534,0.068506,0,1,1,0,8.975152,0.165789319968925
"ABITRAM","Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,8.026917,12.043578,11.681156,142,241,232,8.31248266666667,0.527484614915435
"ABL1","Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,1.36925120900528
"ABL2","Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,4.651018,3.942953,3.604234,834,1003,998,0,6.57262933333333
"ABLIM1","Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,15.2115671628993
"ABLIM2","Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,29.024891,22.325349,27.889239,811,842,921,50.140693,0.533915545493292
"ABLIM3","Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,59.162438,43.070208,35.850085,2210,2652,2304,5.862563,1.99689678622987
"ABO","Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,0.94183,1.656334,1.424069,43,107,83,112.418891,0.009225012318862
"ABR","Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,0.0467018031644483
"ABRA","Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,0.023562,0,0.016861,1,0,1,2872.900966,0.000355068834569808
"ABRACL","Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,17.048097,16.217016,13.732567,152,196,170,8.861323,4.74263574978733
"ABRAXAS1","Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,2.109371,2.159075,1.935205,56,86,86,6.40802166666667,0.559516362105672
"ABRAXAS2","Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,10.186842,8.464947,8.190416,471,532,542,50.0583233333333,0.369207031671036
"ABT1","Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,3.263841,4.270345,3.155402,152,271,212,0.763368333333333,1.52723547075153
"ABTB1","Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,3.761994,3.647191,4.428543,98,109,136,13.421852,3.19384001444475
"ABTB2","Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,1.172037,1.371578,1.223632,92,149,130,0.025777,16.3099302609956
"ACAA1","Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,39.895704,46.043135,40.381622,585,998,977,10.1953486666667,0.115645408215066
"ACAA2","Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,13.144815,9.897038,9.823666,271,275,335,67.633482,0.693723927144869
"ACACA","Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,17.4251099022298
"ACACB","Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,5.011705,4.261474,2.549066,60,56,49,1.25951366666667,1.49895486359085
"ACAD10","Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,12.856185,11.636386,10.582543,221,279,250,2.986488,1.48266067776951
"ACAD11","Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,18.399625,10.629317,9.67092,358,253,310,18.472337,0.517448162488149
"ACAD8","Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,23.137744,24.865645,22.47821,569,801,726,0.327960666666667,14.6326909280948
"ACAD9","Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,32.7380553504453
"ACADL","Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.160831,0.314712,0.317482,8,12,13,15.6034853333333,4.36188405904174
"ACADM","Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,104.999802587659
"ACADS","Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,3.004861,4.19166,2.473391,78,146,97,17.87264,0.580400357342693
"ACADSB","Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,3.572105,3.466148,3.181139,336,406,350,0.225601,90.8826948302642
"ACADVL","Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,223.022625,188.605112,238.198574,1342,1537,1988,13.334388,3.00067136920437
"ACAN","Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0.292759,0.315011,0.284229,25,26,39,3.637669,0.247389511124374
"ACAP1","Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,11.286318,12.913279,6.490646,45,54,54,2.00352533333333,0.394127855977243
"ACAP2","Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,11.321554,4.989484,5.03907,561,490,425,44.8669356666667,0.469377610554275
"ACAT1","Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,7.46300509988313
"ACAT2","Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,119.603573,70.690947,60.766009,2428,1983,1817,33.018719,3.35957551292079
"ACBD3","Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,0.194380029511435
"ACBD5","Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,28.434973,21.567845,22.642447,1235,1449,1480,45.053605,1.15436842204499
"ACBD6","Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,45.008644,45.056697,44.61445,636,975,991,0.246467,25.4841574893947
"ACBD7","Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,1.034596,0.949647,0.691054,40,52,53,6.32523966666667,0.385214563400633
"ACCS","Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,5.273883,5.411674,5.203006,72,100,76,4.16365833333333,1.3973626579347
"ACCSL","Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0,0,0,0,0,0,0,1.66622833333333
"ACD","Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,12.408905,8.62736,10.509139,165,217,228,8.747789,1.04063954058368
"ACE","Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,5.405634,2.557996,4.848241,108,104,195,8.71978533333333,0.277059685405946
