"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,12.383067,11.034331,14.333404,126,71,81,21.339172,0.0447644165146318
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0,0.018194,0.01632,0,2,2,25.9035856666667,0.037958682508702
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,1.12278430306961
"A3GALT2","A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.251325,0.112836,0.205214,3,1,2,31.34975,0.560700829733357
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,1.677651,1.425484,2.068745,11,6,11,15.4402076666667,1.45114284140328
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.0679947830776034
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,22.626138,22.03279,25.95966,485,382,454,4.99417633333333,5.72203587159515
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,20.326116,20.425959,26.161884,720,608,707,18.556026,27.4127814277468
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,6.87484866666667,0.126986567276256
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,10.766603,0.0849862955349135
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,11.191628,12.930531,10.028336,298,198,233,23.18006,0.0480692079892826
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,19.083715,24.987378,20.768264,460,421,405,37.2516393333333,0.599666517124782
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,8.82358,11.990978,8.52265,1360,1207,1223,21.7024766666667,2.57121772176692
"AAMDC","Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,11.840577,16.196803,14.120167,61,65,52,175.753678,0.21258694826141
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.527125,0,0.383865,5,0,3,0.146671333333333,1.90772159648187
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,9.802296,9.159607,9.720694,356,271,317,1.12813166666667,5.95270969293097
