"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,"A1bg",0,0,0,0,0,0,0,13.5836006666667
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,"A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.990482016036954
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,"A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,24.5834917912217
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,"A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.0655947068115308
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,"A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,0.114178218636867
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,"A4gnt",0,0,0,0,0,0,0,1.05810433333333
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,"Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,0.715461284677456
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,"Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.043471930974308
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,"Aadacl2",0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,"Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,10.6541549646984
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,"Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,0.985826789114567
"AAK1",8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,"Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,0.184658445260584
"AAMDC",11.840577,16.196803,14.120167,14.0525156666667,61,65,52,"Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,0.400593622222621
"AAMP",50.785242,57.93435,59.245556,55.9883826666667,665,551,649,"Aamp",62.494553,70.914614,59.527656,3302,855,1226,64.3122743333333,0.87255241450965
"AANAT",0.527125,0,0.383865,0.303663333333333,5,0,3,"Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.595952298704063
"AAR2",9.802296,9.159607,9.720694,9.56086566666667,356,271,317,"Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,0.83365492725194
"AARD",0.430968,0.085659,1.087127,0.534584666666667,14,2,11,"Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.476136420166717
"AARS1",28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,"Aars",50.684771,56.584857,47.574575,6348,1491,2318,51.6147343333333,0.539551870650581
"AARS2",5.386935,4.813326,4.864937,5.02173266666667,386,295,304,"Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,0.734395914453753
"AARSD1",74.878567,67.118873,80.955658,74.3176993333333,446,311,417,"Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,3.61928869418271
"AASDH",5.458335,2.72435,3.019545,3.73407666666667,133,107,128,"Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,0.585933814314962
"AASDHPPT",49.305585,36.802533,43.42734,43.178486,1280,906,1184,"Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,4.16061249177714
"AASS",9.710755,9.041474,7.927698,8.893309,771,591,561,"Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,7.0871581715278
"AATF",15.593698,15.462792,19.291505,16.782665,279,197,205,"Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,1.93469714722808
"AATK",5.175648,2.801113,2.12947,3.36874366666667,197,66,153,"Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.0404386271511333
"ABAT",19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,"Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,0.606055227510698
"ABCA1",13.944394,12.167811,12.461129,12.857778,2286,1610,1812,"Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,0.90587422893831
"ABCA12",0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,"Abca12",0.117098,0.556601,0.159654,27,10,17,0.277784333333333,0.815509555211847
"ABCA13",0.064986,0.353211,0.084842,0.167679666666667,4,8,5,"Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,1.13184946278945
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,"Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,0.58508854551983
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,"Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,0.727409268761805
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,"Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,1.58762144081668
