"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,"A1bg",0,0,0,0,0,0,0,13.5836006666667
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,"A1cf",0,0,0,0,0,0,0,1.01150466666667
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,"A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,74.5007172090666
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,"A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,1.11516901674234
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,"A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,1.13830830025871
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,"A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.998881639791722
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,"Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,0.941007658302905
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,"Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,0.200249794823609
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.965972025450143
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,"Aadacl2",0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,"Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,11.2030041744582
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,"Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,1.10019567580728
"AAK1",8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,"Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,0.1289847287483
"AAMDC",11.840577,16.196803,14.120167,14.0525156666667,61,65,52,"Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,0.541573141482899
"AAMP",50.785242,57.93435,59.245556,55.9883826666667,665,551,649,"Aamp",66.955059,76.234053,61.399198,1094,1097,2029,68.1961033333333,0.823577917272895
"AANAT",0.527125,0,0.383865,0.303663333333333,5,0,3,"Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.940635660644916
"AAR2",9.802296,9.159607,9.720694,9.56086566666667,356,271,317,"Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,1.01441240847423
"AARD",0.430968,0.085659,1.087127,0.534584666666667,14,2,11,"Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.669679317891387
"AARS1",28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,"Aars",36.787153,42.125397,33.744357,1529,1639,2689,37.5523023333333,0.736360129360886
"AARS2",5.386935,4.813326,4.864937,5.02173266666667,386,295,304,"Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,0.834721964623332
"AARSD1",74.878567,67.118873,80.955658,74.3176993333333,446,311,417,"Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,3.06436233575881
"AASDH",5.458335,2.72435,3.019545,3.73407666666667,133,107,128,"Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,0.595025255484465
"AASDHPPT",49.305585,36.802533,43.42734,43.178486,1280,906,1184,"Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,4.55994578247157
"AASS",9.710755,9.041474,7.927698,8.893309,771,591,561,"Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,4.44067044713083
"AATF",15.593698,15.462792,19.291505,16.782665,279,197,205,"Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,2.90334675671462
"AATK",5.175648,2.801113,2.12947,3.36874366666667,197,66,153,"Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.0746328454445588
"ABAT",19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,"Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,0.178281455294333
"ABCA1",13.944394,12.167811,12.461129,12.857778,2286,1610,1812,"Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,2.23165310363053
"ABCA12",0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,"Abca12",0.051568,0.062896,0.025504,6,4,4,0.046656,0.995594859565448
"ABCA13",0.064986,0.353211,0.084842,0.167679666666667,4,8,5,"Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,1.15661395541721
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,"Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,0.584078574518446
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,"Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,1.53930026029877
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,"Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,1.12328476578788
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,"Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,0.860300742747221
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,"Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,1.0544040856179
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,"Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,6.56709854813875
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,"Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,1.94084511210088
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,"Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,1.42801506102254
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1b",2.074675,1.93475,1.983411,34,29,83,1.997612,0.442146948971381
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.0456106439254927
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,"Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,1.04301870620023
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,"Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,2.83278594555559
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,"Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.700971506216004
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,"Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,1.09503226895402
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,"Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,2.03740581388452
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,"Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,0.734168660990336
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,"Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,1.08083794708455
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,"Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,1.18497286493323
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,"Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,0.964654948820095
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,"Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,25.2707854574133
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.686380113646243
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,"Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,1.80001788237636
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,"Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.806118228118256
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,"Abcc4",2.296067,3.830219,3.108326,181,142,318,3.078204,0.919495853239972
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,"Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.390258527001995
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,"Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.15893829434748
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,"Abcc8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,2.02155814673435
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,"Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.534168267745044
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,"Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,2.27667182598542
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,"Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.044943795767131
