"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,"A1bg",0,0,0,0,0,0,0,13.5836006666667
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,"A1cf",0,0,0,0,0,0,0,1.01150466666667
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,"A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,46.125323602624
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,"A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,1.16008762307776
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,"A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,1.05873171095733
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,"A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,1.03502263848013
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,"Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.858958181585422
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,"Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,0.181970609805828
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,"Aadacl2",0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,"Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,11.1073158714104
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,"Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,0.932883266979365
"AAK1",8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,"Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,0.234029750644377
"AAMDC",11.840577,16.196803,14.120167,14.0525156666667,61,65,52,"Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,0.378223661846999
"AAMP",50.785242,57.93435,59.245556,55.9883826666667,665,551,649,"Aamp",82.307746,98.461157,85.878375,1345,3160,2913,88.882426,0.634032537869713
"AANAT",0.527125,0,0.383865,0.303663333333333,5,0,3,"Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.16984058899575
"AAR2",9.802296,9.159607,9.720694,9.56086566666667,356,271,317,"Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,0.690006345229486
"AARD",0.430968,0.085659,1.087127,0.534584666666667,14,2,11,"Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.553479442562078
"AARS1",28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,"Aars",48.151786,34.848517,36.733042,2200,2892,2779,39.911115,0.693903804218813
"AARS2",5.386935,4.813326,4.864937,5.02173266666667,386,295,304,"Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,1.06362961201878
"AARSD1",74.878567,67.118873,80.955658,74.3176993333333,446,311,417,"Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,2.68845137912214
"AASDH",5.458335,2.72435,3.019545,3.73407666666667,133,107,128,"Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,0.672330142933407
"AASDHPPT",49.305585,36.802533,43.42734,43.178486,1280,906,1184,"Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,4.78888260418345
"AASS",9.710755,9.041474,7.927698,8.893309,771,591,561,"Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,3.56270765006923
"AATF",15.593698,15.462792,19.291505,16.782665,279,197,205,"Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,2.58685742664977
"AATK",5.175648,2.801113,2.12947,3.36874366666667,197,66,153,"Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.0802718894371901
"ABAT",19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,"Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,0.191426357007311
"ABCA1",13.944394,12.167811,12.461129,12.857778,2286,1610,1812,"Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,3.08070290415032
"ABCA12",0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,"Abca12",0.056593,0.012085,0.019841,6,3,5,0.0295063333333333,1.01217962395569
"ABCA13",0.064986,0.353211,0.084842,0.167679666666667,4,8,5,"Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.15770832486461
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,"Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,0.660730439631745
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,"Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,2.2402525881455
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,"Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,1.0246415449625
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,"Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,1.31670037858435
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,"Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,1.16535609719089
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,8.61371775270353
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,3.10276873319444
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.79843475649236
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.446698659349602
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0340876018588884
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,0.857964923951614
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,2.69664116971777
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.7485996013571
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,"Abcb5",0,0,0,0,0,0,0,1.09857433333333
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,1.62206712086958
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,0.771569155176739
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,1.02534088139474
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,1.46438079617835
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,1.90476214437389
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,30.1932297713022
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.907593654589217
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.93797452065371
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.887838401525454
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,1.3983782818245
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.829945305851256
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.31014672946068
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,2.69687397002276
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.621459904063484
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,2.84664247971904
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.0590969898838535
