"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,5.64798,11.508254,10.164183,80,113,74,6.82626466666667,0.127774876341604
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0.0555272296838772
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,40.625779,51.799758,89.320033,783,1285,1315,3.348799,3.08791024832373
"A3GALT2","A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0.55418,0.27785,0.327994,5,3,2,10.551188,0.105397153377933
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,10.846069,12.300869,12.113367,217,235,152,16.06117,0.209076223963538
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,10.3202566666667,0.0883372196802369
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,15.794751,14.437361,18.892936,243,314,228,20.6681063333333,1.47173505501996
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,16.816166,15.213942,17.768125,515,633,467,21.5908253333333,5.97955416296138
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200676666667,0.0534186103280289
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0.019721,0.018105,0,1,1,0,16.5164316666667,0.0570892530527764
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,23.254813,19.782313,24.720589,444,388,330,18.9848223333333,0.0618743720964111
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,38.022919,40.964417,49.3614,824,823,659,98.15076,0.221054889880152
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,10.270345,12.426278,11.917593,2058,2373,1545,14.523083,4.57615208697052
"AAMDC","Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,4.594566,5.205604,4.56697,17,27,14,11.0918973333333,3.25010877807651
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,1.6927586522057
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,12.288203,12.652486,12.834718,390,432,284,0.112956333333333,12.5674418493208
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.417513,1.538506,1.037211,12,14,10,15.675252,0.310265655955304
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,3.755461,4.640839,4.294325,242,329,196,31.1199893333333,0.254518069163327
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,63.27632,66.968262,84.250953,365,428,308,13.0359566666667,1.68160443641533
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,3.182292,4.853213,4.954761,105,133,96,9.05523233333333,0.634380269748118
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,0.0729511951756302
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,4.313875,2.742641,4.506,299,175,207,43.404743,0.0621839953748484
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,14.476301,19.209898,14.950782,208,297,163,72.099048,0.137564126234129
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,14.223841,16.332434,12.634368,449,556,369,49.9149603333333,1.56183500512858
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,28.063871,26.832749,35.879571,1227,1323,1029,0.639692,83.9857784266801
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,4.057191,3.554462,2.51638,570,529,255,13.8334303333333,0.471508242496662
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.0427202979559343
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,2.031216,2.837622,4.432733,10,18,15,0.140757,0.900077170977985
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,1.229621459336
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,51.9705,59.537578,54.006441,4138,4756,3097,28.249626,0.549882096498146
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.905126,0.080781,0.014008,7,3,1,29.9432906666667,0.127915246936891
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,15.166472,15.375498,16.666334,612,687,561,6.02759666666667,1.83560904415402
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,0.380325,0.502694,0.140608,12,17,6,133.001987666667,0.0116228126695723
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,53.395405,36.508479,39.178153,1224,1180,903,0.445913,5.23318968706969
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,0.39584,0.133049,0.866773,3,4,10,156.648378666667,0.0307447775506882
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,1.630893,5.875754,1.09333,74,97,41,69.9769943333333,0.0315601933796548
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,1.409905,3.284378,1.946045,27,71,43,6.184727,4.05756613995215
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,10.325898,7.423625,9.542775,388,332,292,3.860617,1.70860530669255
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.639649,3.496208,2.969016,7,12,8,43.6574986666667,0.0223926558776661
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,0.520114,0.10443,0.985588,4,3,5,0.312118,1.58216232584773
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0,0.258936,0.058403,0,2,3,282.399342,0.00356094216572552
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,45.798715,35.435408,31.250175,534,550,292,84.7606963333333,0.107821963463613
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,7.623563,5.152974,8.512265,182,173,131,0.123838333333333,11.2749443499436
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,22.108301,23.197393,18.535002,526,651,446,0.159250666666667,17.3233879241533
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,13.147339,16.158433,16.129464,347,428,305,1.87087366666667,6.21919645599174
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,4.341232,5.649856,8.644544,333,452,284,0.105779666666667,12.2896918282997
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,47.610062,53.34286,79.775617,605,657,496,0.021098,3.14334177522628
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.051357,0.030371,0,2,1,0,23.8082643333333,0.0993630039387546
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.295949,0.49826,0.480955,6,12,3,0.334740666666667,0.791927370660268
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.450343,0.479305,0,4,3,0,0.114704333333333,1.39757448387659
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,5.63397473662657
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.688326,0.691802,0.278854,12,21,8,19.1169983333333,0.138574716125227
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,1.51249,0.676152,0.605353,166,81,48,0,3.43092466666667
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,6.614678,7.050127,8.893207,192,234,142,11.794229,0.307657981318504
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,1.111828,0.947205,1.460715,91,82,86,4.90809766666667,5.14636217083525
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,25.7136290365921
