"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,8.87899,8.87899,0.104989545152558
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,91.00966,91.00966,0.0115039804878459
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,3.21552,3.21552,0.428334898976481
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14522,0.14522,0.873194670019734
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,41.49062,41.49062,0.159799378466746
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,19.77028,19.77028,0.215410721473182
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0,0,0,0,0,0,0,9.04495,9.04495,0.0995525114609829
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,13.06954,13.06954,0.341868841009254
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,24.23052,24.23052,0.313348185715818
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.70112,1.70112,0.373175324803538
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,10.64234,10.64234,0.294845452031121
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,3.92086,3.92086,0.205080751467562
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,13.38072,13.38072,0.228507566612335
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,16.24358,16.24358,0.444259332072188
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,2.40646,2.40646,1.39491045445027
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,24.45872,24.45872,0.176796267316922
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,13.17327,13.17327,0.0749370705090169
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,41.20018,41.20018,0.0693428005915299
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,483.11672,483.11672,0.00327911211164118
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,82.52483,82.52483,0.0376952857411782
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,2.48944,2.48944,0.780316994512969
"ABCA13","Abca13",0,0,0,0,0,0,0,0.37342,0.37342,0.728109391154927
"ABCA17P","Abca17",0,0,0,0,0,0,0,10.01998,10.01998,0.0907442663235323
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,1729.4948,1729.4948,0.00474406414473672
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,41.46987,41.46987,0.0540524454944961
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.04149,0.04149,1.61611921381866
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,15.64196,15.64196,0.0942989287319523
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,9.25241,9.25241,0.231908855251269
