"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,0,0,1.03719066666667
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,723.94074,723.94074,0.00146008808021099
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,7.94469,7.94469,0.20186885552583
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.10121,0.10121,0.908092007882239
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,40.00176,40.00176,0.165602029441338
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,7.10974,7.10974,0.551699684576817
"AADAC","Aadac",0,0,0,0,0,0,0,0.11386,0.11386,0.897778895013736
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0,0,0,0,0,0,0,4.46572,4.46572,0.182958512327745
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,32.38599,32.38599,0.144070531780946
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,11.08208,11.08208,0.654352368687069
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,0.08856,0.08856,0.925986012101614
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,11.34775,11.34775,0.27800133627584
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,0.11386,0.11386,0.90601481933696
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,2.13798,2.13798,1.04720340261357
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,28.29979,28.29979,0.26145652693529
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,8.52662,8.52662,0.498782009429018
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,40.52044,40.52044,0.10840459943745
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,43.22771,43.22771,0.024014431977901
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,24.35275,24.35275,0.115422534702021
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,0.83495,0.83495,0.86513147497207
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,46.07413,46.07413,0.0668837073214807
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,15.72492,15.72492,0.162803130498282
"ABCA13","Abca13",0,0,0,0,0,0,0,0.0253,0.0253,0.975324295328197
"ABCA17P","Abca17",0,0,0,0,0,0,0,1.08797,1.08797,0.478934084301977
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,0.78435,0.78435,4.60087893817543
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,1.10062,1.10062,1.09282037366746
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.0506,0.0506,1.60210546354464
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,33.05648,33.05648,0.0460798943402254
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,30.9185,30.9185,0.0744904887969882
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,1.44219,1.44219,0.659994649610937
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,93.07177,93.07177,0.0245962417843313
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,44.49278,44.49278,0.0605367562354583
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,11.91703,11.91703,1.36521813967039
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,14.34598,14.34598,0.339720174273653
"ABCB11","Abcb11",0,0,0,0,0,0,0,0.06325,0.06325,0.940512579355749
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,7.66637,7.66637,0.481131854128853
"ABCB5","Abcb5",0,0,0,0,0,0,0,0,0,1
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,17.10385,17.10385,0.31078492512182
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,55.72667,55.72667,0.0830842940954111
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,6.61636,6.61636,2.27333472507427
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,0.8223,0.8223,1.20847921125318
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,6.17358,6.17358,0.813936509618164
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,5.79406,5.79406,0.222347315154709
"ABCC12","Abcc12",0,0,0,0,0,0,0,0.24036,0.24036,0.806217549743623
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.22771,0.22771,0.820675349498932
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,1.12592,1.12592,0.589507758209779
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,58.93997,58.93997,0.187406928409652
"ABCC6","Abcc6",0,0,0,0,0,0,0,0.55663,0.55663,0.64241341873149
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,61.837,61.837,0.367877948766915
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,0.64519,0.64519,2.24708331560488
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,4.75669,4.75669,0.384625887445737
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,69.59193,69.59193,0.228065493227531
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,31.47513,31.47513,0.0624569324279841
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,44.60664,44.60664,0.165387949357082
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,71.80581,71.80581,0.221859020134062
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,34.68843,34.68843,0.23718565559389
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,31.91791,31.91791,1.67468516885388
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,14.34598,14.34598,0.101679223701147
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,2.97293,2.97293,2.7396330499992
"ABCG5","Abcg5",0,0,0,0,0,0,0,0.06325,0.06325,0.940512579355749
"ABCG8","Abcg8",0,0,0,0,0,0,0,0,0,1
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,11.14533,11.14533,0.133063435356086
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,71.17327,71.17327,0.0713848354106721
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,9.04531,9.04531,1.06955846393325
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,28.31244,28.31244,0.534223035225545
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,8.53927,8.53927,0.27889908417171
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,3.30185,3.30185,0.907985479115574
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,13.7514,13.7514,0.22297442954567
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,4.35187,4.35187,0.22222662359138
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,17.74904,17.74904,0.769267262039372
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0.0506,0.0506,0.965336950314106
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,18.11591,18.11591,0.129687522069313
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,11.79052,11.79052,0.137137843757199
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,10.93027,10.93027,0.742867261176822
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,29.64077,29.64077,0.635815549021777
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,6.11033,6.11033,0.314181620262351
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,0.37952,0.37952,2.13112362754195
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,24.88408,24.88408,0.296457410629751
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,57.51043,57.51043,0.0593304988529396
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,1.26508,1.26508,1.12994331326046
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,13.83995,13.83995,0.392937195430802
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,3.52957,3.52957,0.476181477123288
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,752.16463,752.16463,0.0458016772950866
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,7.41336,7.41336,0.651981451722815
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,133.68077,133.68077,0.0377052195350531
"ABO","Abo",0,0,0,0,0,0,0,0.17711,0.17711,0.849538275947023
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,99.67548,99.67548,0.0399841848283217
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,26.17446,26.17446,0.179778647548715
