"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,0.232219836636441
"A1CF","A1cf",0,0,0,0,0,0,0,0.063683,0.066053,0,4,2,0,16.1244153333333,0.0583961542940074
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,0.917346150383557
"A3GALT2","A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,0,0,0,0,0,0,14.8929526666667,0.0645320615690921
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,0.192600885850349
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0,0,0,0,0,0,2.25089866666667,0.314467097098074
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,17.868209,17.289999,16.874782,598,489,514,3.297399,6.64796201919657
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,12.7437912835187
"AADAC","Aadac",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,3,2,4,0.485872,0.673005480956637
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22497266666667,0.236687921768015
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,0.116285211423691
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,13.5382,8.893211,8.17232,443,347,312,55.846109,0.426414948939894
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,8.140723,4.98695,5.632312,1061,924,810,19.618997,2.23379163399655
"AAMDC","Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.372175177702822
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,0.932377709827948
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,9.629091,8.985329,7.802869,494,440,373,0,15.3054616666667
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,2.343952427959
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,0.930589086610324
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,5.57618112443431
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,1.10280751134542
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,15.491333,11.332325,7.790263,438,436,306,121.357049,0.0753958850380578
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,10.663442,6.340196,5.078783,777,556,484,8.239964,0.300532267586035
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.0777382744635029
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,6.46756494471971
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,50.5151145334271
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.168673583204402
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.759169415436045
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,0.02167,0.266152,1.014407,2,4,5,0.812543,0.616271540408513
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,24.315816,17.365586,16.698512,805,444,402,52.444161,1.16918195547436
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,4.61912674663844
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.012157,0.012809,0,1,1,0,31.344221,0.0609915858951537
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,0.411787087901383
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,0.307074,0.113031,0.186072,11,7,9,214.166965,0.006656825781783
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,11.353326,7.85688,8.990523,435,267,221,0.009045,2.48345779094755
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,0.0405649184171855
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,0.0878394096260723
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.03239,0.180298,0.191402,3,5,3,1.137784,18.1878674365605
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,4.005154,2.663769,2.895076,137,128,111,1.70077,2.77699606655386
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,0.151635862716655
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.141837611193684
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.238192,0,0.073851,1,0,5,20.783434,0.0459064443191097
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.0737171404636332
