"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,18.566797,13.425058,13.989052,182,164,192,9.26790433333333,0.0973908567450943
"A1CF","A1cf",0,0,0,0,0,0,0,0.232084,0.063162,0.004811,1,5,1,16.220613,0.058069942109494
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,20.514891,0.866071,0.291101,519,12,14,2.97925533333333,0.571886398175337
"A3GALT2","A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,0.438529,0.497281,0.204317,5,8,4,11.568825,0.0815991152713161
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,13.724676,11.545392,14.652328,285,366,484,13.5687636666667,0.176600572215107
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.153016,0.028124,0,4,1,0,8.37407766666667,0.109056133629218
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,13.508489,16.738215,19.022055,343,455,490,30.1619223333333,0.916790210428503
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,15.145339,10.858128,8.980095,461,652,560,16.2866656666667,7.40849782540481
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,15.380365,0.0610487006852412
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0.011945,0,0,1,0,13.2169563333333,0.0703385433952119
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,16.560745,15.539194,12.933418,429,514,491,16.745054,0.0628285305114691
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,41.413864,42.849994,35.918127,993,1426,1315,96.488751,0.248644386331985
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,4.23804952154042
"AAMDC","Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,9.532266,5.352023,7.306193,48,40,51,19.3151253333333,1.95902909845039
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,0.253842,0.182542,0.515652,1,1,6,0,1.114394
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,14.6244823936608
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.160926,0.129803,0.240983,5,6,12,10.131919,0.249068796374342
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,4.02726,4.870429,3.692426,318,528,425,22.3376433333333,0.242590647184741
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,57.596898,71.665882,48.347544,392,756,544,10.569663,2.42144243959396
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,5.317648,4.075445,5.487073,154,175,182,43.666992,0.157639844354566
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,104.747918,110.344793,89.985303,3116,4632,3686,139.696805,0.0655680702912905
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,2.628604,2.250706,1.439504,225,282,185,28.594794,0.0938309397704655
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,16.465887,17.429714,15.691305,276,428,414,30.1587223333333,0.220619914806734
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,1.2673592224414
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,64.1413561416513
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,4.587007,4.124422,3.096802,771,969,758,13.6558153333333,0.306926083448195
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.0651359534591981
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,4.66571,1.657589,2.029971,35,13,40,0.368363333333333,0.816317303640115
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,0.65559732915826
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,0.291474548312833
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.709647,0.545438,0.159905,39,1,1,28.3998213333333,0.0670999089064759
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,10.668791,9.107596,7.662206,513,604,633,3.178246,1.42477361712706
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,0.332708,0.201177,0.26943,9,14,15,116.877734,0.0121509716160645
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,42.45405,52.111696,39.796489,1395,2369,1835,0.296992,1.93210186852862
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,0.244206,0.413915,0.141469,6,7,6,217.002767,0.0116356841164926
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,4.035468,0.682386,0.739211,21,27,35,71.051303,0.0302529897805364
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,2.608253,0.395444,0.72192,71,28,37,5.47972433333333,6.00052255309421
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,4.784184,6.526598,5.638334,213,397,298,3.46895066666667,1.67825250849342
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,1.713152,2.345963,2.257067,8,17,14,37.9252723333333,0.0270557987190105
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,2.613821,0.236469,0.112046,20,11,9,0.290904,1.57232425235855
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.031732,0.170177,0.033162,3,5,1,251.873522,0.00395454609913647
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,39.80428,30.533985,38.474452,602,671,937,98.0426783333333,0.100996555239225
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,6.507055,5.040312,4.209266,171,274,200,0.332785333333333,6.18101314640317
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,21.9850038460679
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,13.522164,13.523465,13.352624,392,512,531,2.804119,3.45811369202698
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,11.500209,10.367327,9.302465,903,1271,1197,0.078357,5.28307539463585
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,36.128396,35.014973,37.78168,526,739,582,0.110797333333333,2.01908989098521
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0,0,0,0,0,0,24.0371986666667,0.0440071064393306
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.800458998612995
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.735677,0.386222,0.301105,6,5,4,0.037753,1.60399793271295
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,3.57022445138422
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.0675829730583784
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,2.011239,0.868414,0.975146,245,158,167,0,2.09624733333333
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,10.618352,6.729346,8.415782,351,364,475,10.3287653333333,0.269805335656466
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,1.015291,0.95263,0.78988,101,128,108,3.89511266666667,3.49731010617529
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,21.210307663663
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,58.610022,52.354869,50.095508,722,999,947,2.48702933333333,1.35890358631913
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,47.293811,49.347163,47.386876,1200,1864,1735,92.46756,0.21925068619173
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,1.55715005516881
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,19.522918,29.608502,27.332976,499,751,734,2.73144,8.87229737938526
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,46.460597,40.982435,31.451225,710,879,744,116.286335333333,1.76854991740641
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,2.981022,2.516257,2.216058,133,150,148,38.8820083333333,0.406418382892369
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,0,0.032841,0.010415,0,3,1,20.899473,0.775526835737097
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.0109669169977259
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0.375379,0.464493,0.42013,27,45,55,17.679678,0.0540917247074602
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,0.400221,0.717874,0.22597,14,18,14,28.059534,0.0760479618610998
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,22.938499,24.352688,21.626771,576,818,829,45.387708,0.193307991562477
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,6.937606,7.064101,6.864255,76,110,135,0.109443,16.6319874026877
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,64.546737,62.306897,62.683147,766,1044,1187,0.054446,265.311632838476
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,2.367033,2.196661,1.88721,196,246,214,20.067703,0.356632218835944
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,22.540257,19.428712,18.954588,283,320,352,4.60419966666667,2.75336692441187
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,3.320588,2.072545,1.528819,54,55,44,41.663942,0.220352891910457
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,0.626613,0.218831,0.501833,33,16,41,157.985373333333,0.00844716490900672
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,30.2258437370275
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,0,0,0,0,0,0,14.1934193333333,0.0667133564711284
"ABHD17A","Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,15.282057,19.663938,28.463204,503,831,1086,30.240615,2.41285360952935
"ABHD17B","Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,10.201998,14.689547,11.447473,457,762,669,48.3995476666667,0.269704392637387
"ABHD17C","Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,22.112876,26.685209,23.848278,525,820,771,9.06215266666667,1.29089792515571
"ABHD18","Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,4.011071,3.517854,4.147912,213,284,273,0.334188666666667,3.43919825431985
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,0.849736397074063
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,1.597983,1.039653,1.180823,33,27,32,119.859511333333,0.345724504473836
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,25.455379,4.883742,6.507743,182,133,112,2.82895033333333,9.89226142134167
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,10.403327,7.362645,6.909279,314,407,402,29.3573956666667,0.618659964759603
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,11.668832,13.764524,17.829011,180,342,395,5.16011933333333,3.21789464251721
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,9.661101,10.705984,15.55678,265,375,569,0.081767,83.8317471938659
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,25.555257,19.141618,16.288946,935,970,821,89.80118,0.829490960359766
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,2.10399085990205
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0.107534,0.068506,0,1,1,0,8.975152,0.393708587097219
"ABITRAM","Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,8.026917,12.043578,11.681156,142,241,232,8.31248266666667,0.590909484645842
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,1.49274753203773
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,4.651018,3.942953,3.604234,834,1003,998,0,5.626649
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,4.70514933282418
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,29.024891,22.325349,27.889239,811,842,921,50.140693,1.34500032423625
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,59.162438,43.070208,35.850085,2210,2652,2304,5.862563,0.690564540779686
"ABO","Abo",0,0,0,0,0,0,0,0.94183,1.656334,1.424069,43,107,83,112.418891,0.00881687337253192
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,0.0707282456411359
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.023562,0,0.016861,1,0,1,2872.900966,0.000367255406206877
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,17.048097,16.217016,13.732567,152,196,170,8.861323,3.8372846456133
"ABRAXAS1","Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,2.109371,2.159075,1.935205,56,86,86,6.40802166666667,0.445151775788993
"ABRAXAS2","Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,10.186842,8.464947,8.190416,471,532,542,50.0583233333333,0.261063325163374
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,3.263841,4.270345,3.155402,152,271,212,0.763368333333333,2.0144794857569
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,3.761994,3.647191,4.428543,98,109,136,13.421852,1.75750033121035
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,1.172037,1.371578,1.223632,92,149,130,0.025777,3.5462899506098
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,39.895704,46.043135,40.381622,585,998,977,10.1953486666667,0.107676592832631
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,13.144815,9.897038,9.823666,271,275,335,67.633482,0.354268873220411
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,5.9537090327573
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,5.011705,4.261474,2.549066,60,56,49,1.25951366666667,0.891465139769753
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,12.856185,11.636386,10.582543,221,279,250,2.986488,0.545387067514063
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,18.399625,10.629317,9.67092,358,253,310,18.472337,0.470297273511649
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,23.137744,24.865645,22.47821,569,801,726,0.327960666666667,11.6809190131635
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,30.6836464707054
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.160831,0.314712,0.317482,8,12,13,15.6034853333333,1.34080400709441
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,48.6895504975045
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,3.004861,4.19166,2.473391,78,146,97,17.87264,0.29694953470562
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,3.572105,3.466148,3.181139,336,406,350,0.225601,111.231788050652
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,223.022625,188.605112,238.198574,1342,1537,1988,13.334388,1.42765253272992
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.292759,0.315011,0.284229,25,26,39,3.637669,0.341044031674821
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,11.286318,12.913279,6.490646,45,54,54,2.00352533333333,0.339058679489524
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,11.321554,4.989484,5.03907,561,490,425,44.8669356666667,0.441736239235864
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,8.04926321126658
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,119.603573,70.690947,60.766009,2428,1983,1817,33.018719,0.756792027746058
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,0.0874892432871013
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,28.434973,21.567845,22.642447,1235,1449,1480,45.053605,0.553290641778568
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,45.008644,45.056697,44.61445,636,975,991,0.246467,33.8623811674651
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.034596,0.949647,0.691054,40,52,53,6.32523966666667,0.188410672706545
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,5.273883,5.411674,5.203006,72,100,76,4.16365833333333,0.523761738689785
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0,0,0,0,0,0,1.15031
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,12.408905,8.62736,10.509139,165,217,228,8.747789,1.65180350128629
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,5.405634,2.557996,4.848241,108,104,195,8.71978533333333,0.738914089872218
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.05341,0,0.099057,1,0,1,0.112139,1.38050399575353
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0.145606,0.072291,0.066789,3,2,2,0,1.010186
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.989215,1.238033,0.764366,43,73,48,97.1317866666667,0.0375726573951437
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,5.100368,4.487993,5.453281,507,602,712,2.69759466666667,1.54335701479448
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,1.0195096053896
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,4.02482544288006
"ACKR1","Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,5.527193,8.511619,6.913666,150,313,243,202.534186,0.24031550978206
"ACKR2","Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.648149,0.227417,0.267559,15,14,12,0.24665,1.26148718565756
"ACKR3","Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,1.953183,0.627658,0.254604,33,11,7,9.87020466666667,0.39442020318906
