"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",8.87899,8.87899,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,0.727273293909651
"A1CF",0,0,0,0.018194,0.01632,0.0115046666666667,0,2,2,0.988626185280411
"A2M",91.00966,91.00966,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,0.876561567828202
"A2ML1",3.36074,3.36074,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,2.78592342268
"A2MP1",0.6846,0.6846,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,1.37171389052345
"A4GALT",3.21552,3.21552,1.677651,1.425484,2.068745,1.72396,11,6,11,1.54757044890527
"A4GNT",0.14522,0.14522,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,1.08233183054097
"AAAS",41.49062,41.49062,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,1.73151731733839
"AACS",19.77028,19.77028,20.326116,20.425959,26.161884,22.304653,720,608,707,0.891250343869098
"AACSP1",0,0,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.552498804760919
"AADAC",0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0.013978,0.017282,0.015789,0.015683,1,1,1,0.98455915871389
"AADACL3",0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,1
"AADAT",9.04495,9.04495,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,0.811156082846272
"AAGAB",13.06954,13.06954,19.083715,24.987378,20.768264,21.613119,460,421,405,0.622184847654143
"AAK1",24.23052,24.23052,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,2.34069558509813
"AAMP",147.04274,147.04274,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,2.59777051168347
"AANAT",1.70112,1.70112,0.527125,0,0.383865,0.303663333333333,5,0,3,2.07194597787261
"AAR2",10.64234,10.64234,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.10240394750468
"AARD",3.92086,3.92086,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,3.20663962496693
"AARS2",13.38072,13.38072,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,2.38813657065923
"AARSD1",16.24358,16.24358,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.228944592740216
"AASDH",2.40646,2.40646,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,0.719561646304841
"AASDHPPT",24.45872,24.45872,49.305585,36.802533,43.42734,43.178486,1280,906,1184,0.576269634953086
"AASS",13.17327,13.17327,9.710755,9.041474,7.927698,8.893309,771,591,561,1.4326116772457
"AATF",41.20018,41.20018,15.593698,15.462792,19.291505,16.782665,279,197,205,2.37310774284957
"AATK",483.11672,483.11672,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,110.813716010347
"ABAT",82.52483,82.52483,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,5.01567959779522
"ABCA1",2.48944,2.48944,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.251803716295643
"ABCA10",5.33154,5.33154,5.207727,2.056644,5.225361,4.163244,145,54,111,1.22627170050457
