"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",16.26198,16.26198,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,1.27079560299206
"A1CF",0,0,0,0.018194,0.01632,0.0115046666666667,0,2,2,0.988626185280411
"A2M",200.41955,200.41955,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,1.91889239172551
"A2ML1",1.36551,1.36551,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,1.51124114613202
"A2MP1",1.05517,1.05517,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,1.67345674723204
"A4GALT",6.95168,6.95168,1.677651,1.425484,2.068745,1.72396,11,6,11,2.91916180854344
"A4GNT",0,0,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,0.945086385621078
"AAAS",45.86871,45.86871,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,1.90992701462843
"AACS",9.62064,9.62064,20.326116,20.425959,26.161884,22.304653,720,608,707,0.455730450052185
"AACSP1",0,0,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.552498804760919
"AADAC",0.46551,0.46551,0,0,0,0,0,0,0,1.46551
"AADACL2",0.12414,0.12414,0.013978,0.017282,0.015789,0.015683,1,1,1,1.10678233267663
"AADACL3",0,0,0,0,0,0,0,0,0,1
"AADACL4",0.12414,0.12414,0,0,0,0,0,0,0,1.12414
"AADAT",6.67238,6.67238,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,0.619564826794367
"AAGAB",10.5827,10.5827,19.083715,24.987378,20.768264,21.613119,460,421,405,0.51221151757084
"AAK1",15.29991,15.29991,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,1.51218157114863
"AAMP",105.08216,105.08216,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,1.86146991783378
"AANAT",0.24827,0.24827,0.527125,0,0.383865,0.303663333333333,5,0,3,0.957509479696956
"AAR2",9.86891,9.86891,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.02916847378389
"AARD",1.0862,1.0862,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,1.35945578325862
"AARS2",9.43443,9.43443,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,1.73279528959494
"AARSD1",4.28273,4.28273,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.0701392905885274
"AASDH",2.54481,2.54481,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,0.748785930096893
"AASDHPPT",19.98609,19.98609,49.305585,36.802533,43.42734,43.178486,1280,906,1184,0.475029633202007
"AASS",11.73097,11.73097,9.710755,9.041474,7.927698,8.893309,771,591,561,1.28682627824523
"AATF",73.61338,73.61338,15.593698,15.462792,19.291505,16.782665,279,197,205,4.1958491598419
"AATK",251.03651,251.03651,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,57.6908441488632
"ABAT",65.91687,65.91687,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,4.0183689042805
"ABCA1",3.19653,3.19653,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.302828490974527
"ABCA10",3.38274,3.38274,5.207727,2.056644,5.225361,4.163244,145,54,111,0.848834569894431
"ABCA11P",4.59308,4.59308,4.636006,3.841444,3.107302,3.861584,111,76,68,1.15046453995241
"ABCA12",0,0,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.959651147614819
"ABCA13",0.43448,0.43448,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,1.22848760747454
"ABCA17P",11.82407,11.82407,1.321805,0.403783,0.722064,0.815884,13,4,7,7.06216366243659
"ABCA2",1386.02317,1386.02317,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,33.5951847060416
"ABCA3",35.31704,35.31704,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,1.6315701978819
"ABCA4",2.54481,2.54481,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,1.75369627584656
"ABCA5",14.95854,14.95854,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,2.03594633047061
"ABCA6",19.48954,19.48954,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,12.2752620059431
"ABCA7",38.79288,38.79288,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,1.84351814846775
"ABCA8",53.1928,53.1928,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,6.88554396353819
"ABCA9",5.27583,5.27583,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,1.60090788595187
"ABCB1",34.57222,34.57222,0.242278,0.606745,0.127132,0.325385,1,5,2,26.8391599422055
"ABCB10",5.12066,5.12066,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,0.951186892110258
"ABCB10P3",0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0,0,0.036736,0,0,0.0122453333333333,1,0,0,0.987902800902021
"ABCB11",0,0,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.352115238397275
"ABCB4",4.43791,4.43791,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,3.57887363431704
"ABCB5",0.18621,0.18621,0.218901,0.076822,0,0.0985743333333333,4,2,0,1.07977217745545
"ABCB6",28.7688,28.7688,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,1.83469369990995
"ABCB7",9.12409,9.12409,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,1.59280007484604
"ABCB8",16.97577,16.97577,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,0.763561178913446
"ABCB9",19.58265,19.58265,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,1.06844926026423
"ABCC1",4.2517,4.2517,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.483960356234337
"ABCC10",35.25497,35.25497,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.535386597559955
"ABCC11",1.45861,1.45861,0.446327,0.700426,0.435039,0.527264,5,6,8,1.60981336560018
"ABCC12",0.83793,0.83793,0,0,0,0,0,0,0,1.83793
"ABCC13",0.49655,0.49655,0,0.032583,0.030135,0.020906,0,1,1,1.46590381484681
"ABCC2",0.83793,0.83793,1.027977,1.07924,0.751123,0.95278,20,15,18,0.941186411167669
"ABCC3",9.86891,9.86891,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,7.35451884759079
"ABCC4",2.23447,2.23447,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,0.862550251451709
"ABCC5",21.22747,21.22747,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,0.500426052205309
"ABCC6",1.48965,1.48965,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,1.54221620574694
"ABCC6P1",0.62069,0.62069,0.068151,0,0.668788,0.245646333333333,3,0,10,1.30108358739599
"ABCC6P2",0,0,0.199733,0,0.688996,0.296243,2,0,5,0.77146028946733
"ABCC8",40.15839,40.15839,29.752164,6.667184,22.439929,19.619759,265,116,210,1.99606552142535
"ABCC9",2.14137,2.14137,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,2.41136778789013
"ABCD1",6.26893,6.26893,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.835419187787124
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",0.62069,0.62069,0.010725,0,0.024448,0.0117243333333333,1,0,2,1.60190868856569
"ABCD3",22.4378,22.4378,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,1.8731419169523
"ABCD4",114.29935,114.29935,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,1.68407652461551
"ABCE1",12.13441,12.13441,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,0.323112819722115
"ABCF1",29.32742,29.32742,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.474132869366569
"ABCF2",13.28268,13.28268,41.126604,23.175533,34.428163,32.9101,544,392,458,0.421192506067514
"ABCF3",52.78936,52.78936,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,1.11953337721005
"ABCG1",10.27236,10.27236,4.150456,4.415328,3.848561,4.138115,183,146,140,2.1938707093944
"ABCG2",26.44123,26.44123,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,5.80383494187719
"ABCG4",1.36551,1.36551,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,0.625735654013778
