"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,"A1bg",0,0,0,0,0,0,0,16.326969
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,1.06218434759994
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,0.612421186531743
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,1.13354006571593
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,4.01096843314172
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,"A4gnt",0,0,0,0,0,0,0,1.06038
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.546349237922973
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.0937289027185251
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,"Aadacl3",0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1.014666
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,12.9482354780579
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,1.87339678152334
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,"Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.193545233311457
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,"Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,0.213659828255221
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,"Aamp",65.096573,79.392539,83.921256,534,2470,1441,76.1367893333333,0.866796694260475
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,"Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.711269761537826
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,"Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.844117979720332
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,"Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.227540084660576
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,"Aars",49.021279,58.791273,58.30389,1011,4453,2654,55.3721473333333,1.11189635836828
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,"Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,0.635673419257207
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,"Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,2.55067692804936
"AASDH",5.317648,4.075445,5.487073,4.96005533333333,154,175,182,"Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,0.934347686881258
"AASDHPPT",104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,"Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,9.73653089794603
