"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,"A1bg",0,0,0,0,0,0,0,16.326969
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,"A1cf",0,0,0,0,0,0,0,1.100019
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,"A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,5.83705336494432
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,"A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,1.29348733483548
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,"A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,5.97890811340737
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,"A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,1.00102993611753
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,"Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,0.668109832655156
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,"Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,0.108793731694837
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.965972025450143
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,"Aadacl3",0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1.014666
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,"Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,14.4848110094963
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,"Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,1.99772364048729
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,"Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,0.164519711178497
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,"Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,0.302108714457152
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,"Aamp",66.955059,76.234053,61.399198,1094,1097,2029,68.1961033333333,0.966267040759665
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,"Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.9505076703731
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,"Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,1.13407870311345
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,"Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.513736069118555
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,"Aars",36.787153,42.125397,33.744357,1529,1639,2689,37.5523023333333,1.62584285606047
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,"Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,0.720358084173984
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,"Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,2.44942635977841
