"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,"A1bg",0,0,0,0,0,0,0,16.326969
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,"A1cf",0,0,0,0,0,0,0,1.100019
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,"A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,3.61387091869602
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,"A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,1.34558853879743
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,"A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,5.56093600927427
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,"A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,1.0372486633091
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,"Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.609855192880997
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,"Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,0.0988628313801752
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,"Aadacl3",0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1.014666
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,"Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,14.3610917852702
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,"Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,1.69391954289607
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,"Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,0.29850438386642
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,"Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,0.21098657873801
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,"Aamp",82.307746,98.461157,85.878375,1345,3160,2913,88.882426,0.743881946399622
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,"Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.1821181138209
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,"Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,0.771403715688855
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,"Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.424594795692777
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,"Aars",48.151786,34.848517,36.733042,2200,2892,2779,39.911115,1.53210161427605
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,"Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,0.917903472122376
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,"Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,2.14895072888754
