"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,14.4996,14.4996,0.0645177940075873
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0,0,1.03561966666667
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,162.84087,162.84087,0.081961851154721
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,72.86389,72.86389,0.0482926772472991
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,30.26413,30.26413,1.02000956580806
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,31.73813,31.73813,4.12616919984943
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,3.94113,3.94113,0.250256182964895
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,29.97142,29.97142,0.707676959381692
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,5.18515,5.18515,11.4849257765239
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,1.03494,1.03494,0.910151486857926
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,18.44073,18.44073,0.719469587818976
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,4.22339,4.22339,0.990498124781033
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,8.61404,8.61404,0.85033114764102
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,51.0779,51.0779,0.453223478673295
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,3.3348,3.3348,1.47154217034235
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,24.47265,24.47265,0.414057901317688
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,7.33866,7.33866,0.331140055276667
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,42.6834,42.6834,0.230197435791781
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,173.04391,173.04391,0.456900602459077
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,14.94912,14.94912,8.63438290012239
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,3.21981,3.21981,1.65744065886063
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.31362,0.31362,0.771952822480372
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,3.9934,3.9934,0.205625292052176
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,190.96195,190.96195,0.692558698915766
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,75.62373,75.62373,0.209906848265761
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.33453,0.33453,2.9659270804453
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,12.96287,12.96287,0.923873100587487
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,12.28337,12.28337,0.117250366435626
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,45.76731,45.76731,0.161795429328734
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,65.06526,65.06526,0.073364796162663
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,5.22697,5.22697,0.359733171456851
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,8.45723,8.45723,3.0825627588628
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,3.61706,3.61706,1.79873685852036
"ABCB11","Abcb11",0,0,0,0,0,0,0,0,0,1
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,0.57497,0.57497,1.31810997458153
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0.01045,0.01045,0.998731918122289
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,58.67791,58.67791,0.15494655671867
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,7.97635,7.97635,1.41162217010997
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,33.23304,33.23304,0.586630605987666
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,31.39315,31.39315,0.551182189238568
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,3.54388,3.54388,2.99076809540158
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,18.64981,18.64981,0.16334305522547
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.15681,0.15681,2.13088032318762
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.06272,0.06272,0.994634209073572
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,1.82944,1.82944,0.550597409145744
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,25.43441,25.43441,3.52372870562775
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.45997,0.45997,1.90942781929309
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.7945,0.7945,1.91191121017925
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,6.76369,6.76369,0.507007192026815
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,1.589,1.589,11.7439978112527
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,23.9395,23.9395,1.0679573634863
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,25.36124,25.36124,0.232681125774053
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,15.03275,15.03275,1.44671101339446
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,40.28945,40.28945,1.29938698626405
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,29.98187,29.98187,1.09896849350927
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,62.56677,62.56677,3.68505927441859
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,9.4399,9.4399,3.16221735840382
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,4.96562,4.96562,3.22812336912732
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.09409,0.09409,0.948242527275331
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.21953,0.21953,0.824838804020128
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,2.06988,2.06988,0.712575735859382
