"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.87899,8.87899,0.10122492279069
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,91.00966,91.00966,0.0153128885235166
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,3.21552,3.21552,0.567661798939791
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.14522,0.14522,0.924965508810534
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,41.49062,41.49062,0.613733744843764
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,19.77028,19.77028,5.60309788794373
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0,0,1.03522666666667
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,9.04495,9.04495,0.110042658251161
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,13.06954,13.06954,1.46086685610664
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,24.23052,24.23052,3.31220165101631
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,1.70112,1.70112,0.513097776724717
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,10.64234,10.64234,0.894220634912455
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,3.92086,3.92086,0.465675037832141
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,13.38072,13.38072,0.501647900800516
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,16.24358,16.24358,1.42537616898579
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,2.40646,2.40646,2.33558992815611
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,24.45872,24.45872,0.380552504865393
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,13.17327,13.17327,0.157189296001087
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,41.20018,41.20018,0.1451388359007
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,483.11672,483.11672,0.120913970223269
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,82.52483,82.52483,1.11831472549341
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,2.48944,2.48944,1.77955402586088
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.37342,0.37342,0.735075456403237
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,10.01998,10.01998,0.107758453282129
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,1729.4948,1729.4948,0.0408474649370034
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,41.46987,41.46987,0.340486898908175
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.04149,0.04149,1.72780055497412
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,15.64196,15.64196,0.547484791454853
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,9.25241,9.25241,0.154407500285299
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,20.53785,20.53785,0.152609677072379
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,43.39918,43.39918,0.0913350576895039
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,3.17403,3.17403,0.657682782985907
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,22.50866,22.50866,1.23608396508634
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,4.64695,4.64695,1.09251235917914
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,0.14522,0.14522,0.875412002351804
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,2.38571,2.38571,0.640229277364767
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.08298,0.08298,0.926364906708034
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,42.36192,42.36192,0.183658787864252
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,9.43911,9.43911,0.829345349683386
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,23.23474,23.23474,0.898762025092904
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,23.31773,23.31773,0.668522377157188
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,2.15751,2.15751,3.56265189975645
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,32.79833,32.79833,0.0792840948058676
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.85056,0.85056,0.787285290218456
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.47714,0.47714,0.734437494076391
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,3.25701,3.25701,0.430653831366773
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,24.9566,24.9566,4.38480128368122
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,0.18671,0.18671,1.17378382250086
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,2.36497,2.36497,0.724763568966935
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,4.41875,4.41875,0.70528799692426
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.6846,0.6846,13.3627440737663
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,18.04842,18.04842,1.07358032844719
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,110.40653,110.40653,0.0464560889443973
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,12.79985,12.79985,1.58463695861428
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,50.45259,50.45259,0.802208000284016
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,18.83674,18.83674,1.43099985179016
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,38.0054,38.0054,4.30774511563356
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,17.71649,17.71649,1.05839415759401
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,17.34308,17.34308,1.05266018574852
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.10373,0.10373,0.921215635466403
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0.18671,0.18671,0.856618157202125
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,7.0949,7.0949,0.220389010364551
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,14.95737,14.95737,0.493453432489188
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,16.18134,16.18134,0.872466233716346
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,147.18796,147.18796,1.57299087141313
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,1.72186,1.72186,2.98213268377752
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,73.3969,73.3969,0.232797276051377
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,11.78333,11.78333,0.575485938849006
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,2.28198,2.28198,0.412400542761788
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,50.39035,50.39035,0.822698308145401
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,4.23204,4.23204,0.191130037232131
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,9.37688,9.37688,2.02132111643063
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,4.41875,4.41875,5.56305113417916
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,21.57512,21.57512,1.16155437195166
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,4.89589,4.89589,2.71327614095016
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,33.79411,33.79411,0.50536543876727
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,42.59012,42.59012,1.5081309174342
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,26.90666,26.90666,2.94166544234722
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,41.15869,41.15869,1.63669530528581
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,5.29005,5.29005,0.675774066448862
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,41.69807,41.69807,0.366169282749002
