"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,16.26198,16.26198,0.0579307819844537
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,200.41955,200.41955,0.00699501943414463
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,6.95168,6.95168,0.300941394355239
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0,0,1.059289
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,45.86871,45.86871,0.55640377841279
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,9.62064,9.62064,10.9577117763148
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.46551,0.46551,0.706393451199014
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,6.67238,6.67238,0.14407172220354
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,10.5827,10.5827,1.77451929745799
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,15.29991,15.29991,5.12693444319631
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.24827,0.24827,1.11028757133206
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,9.86891,9.86891,0.957853240726684
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,1.0862,1.0862,1.09841897548973
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,9.43443,9.43443,0.691370587564438
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,4.28273,4.28273,4.65262998487524
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,2.54481,2.54481,2.24443444547569
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,19.98609,19.98609,0.461657205637957
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,11.73097,11.73097,0.174997375167276
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,73.61338,73.61338,0.0820882930112535
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,251.03651,251.03651,0.232253948710314
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,65.91687,65.91687,1.39586695153753
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,3.19653,3.19653,1.47970990318191
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.43448,0.43448,0.703786273306936
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,11.82407,11.82407,0.0925989954827134
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,1386.02317,1386.02317,0.0509626134555969
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,35.31704,35.31704,0.398172161975021
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,2.54481,2.54481,0.507639901715466
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,14.95854,14.95854,0.570930674109286
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,19.48954,19.48954,0.0772613245587749
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,38.79288,38.79288,0.0825998101502915
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,53.1928,53.1928,0.0748291593471212
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,5.27583,5.27583,0.437422248000132
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,34.57222,34.57222,0.816892442098544
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,5.12066,5.12066,1.00795709395174
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,0,0,1.00253933333333
