"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",0,0,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,0.0736181830237353
"A1CF",0,0,0,0.018194,0.01632,0.0115046666666667,0,2,2,0.988626185280411
"A2M",723.94074,723.94074,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,6.90639647659754
"A2ML1",0.46808,0.46808,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,0.937904680941321
"A2MP1",2.11268,2.11268,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,2.53455205553517
"A4GALT",7.94469,7.94469,1.677651,1.425484,2.068745,1.72396,11,6,11,3.28370827765459
"A4GNT",0.10121,0.10121,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,1.04073857870979
"AAAS",40.00176,40.00176,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,1.67084541203099
"AACS",7.10974,7.10974,20.326116,20.425959,26.161884,22.304653,720,608,707,0.347988017671836
"AACSP1",0,0,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.552498804760919
"AADAC",0.11386,0.11386,0,0,0,0,0,0,0,1.11386
"AADACL2",0,0,0.013978,0.017282,0.015789,0.015683,1,1,1,0.98455915871389
"AADACL3",0,0,0,0,0,0,0,0,0,1
"AADACL4",0.06325,0.06325,0,0,0,0,0,0,0,1.06325
"AADAT",4.46572,4.46572,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,0.441371238795069
"AAGAB",32.38599,32.38599,19.083715,24.987378,20.768264,21.613119,460,421,405,1.47639916457345
"AAK1",11.08208,11.08208,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,1.12088341083745
"AAMP",28.35039,28.35039,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,0.515024091342874
"AANAT",0.08856,0.08856,0.527125,0,0.383865,0.303663333333333,5,0,3,0.835000856560615
"AAR2",11.34775,11.34775,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.16919866133449
"AARD",0.11386,0.11386,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,0.725838087786619
"AARS2",2.13798,2.13798,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,0.521109151419209
"AARSD1",28.29979,28.29979,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.389015998355553
"AASDH",8.52662,8.52662,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,2.01235017317703
"AASDHPPT",40.52044,40.52044,49.305585,36.802533,43.42734,43.178486,1280,906,1184,0.93983392731023
"AASS",43.22771,43.22771,9.710755,9.041474,7.927698,8.893309,771,591,561,4.4704668579542
"AATF",24.35275,24.35275,15.593698,15.462792,19.291505,16.782665,279,197,205,1.42570025358966
"AATK",0.83495,0.83495,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,0.420017776277558
"ABAT",46.07413,46.07413,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,2.82680914675265
"ABCA1",15.72492,15.72492,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,1.20689767147374
"ABCA10",28.56546,28.56546,5.207727,2.056644,5.225361,4.163244,145,54,111,5.72614038770974
"ABCA11P",9.27302,9.27302,4.636006,3.841444,3.107302,3.861584,111,76,68,2.11310140892351
"ABCA12",0,0,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.959651147614819
"ABCA13",0.0253,0.0253,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,0.878066159126404
"ABCA17P",1.08797,1.08797,1.321805,0.403783,0.722064,0.815884,13,4,7,1.14983666357543
"ABCA2",0.78435,0.78435,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,0.043218865500441
"ABCA3",1.10062,1.10062,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,0.0943719253847415
"ABCA4",0.0506,0.0506,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.519755165271028
"ABCA5",33.05648,33.05648,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,4.34483138712851
"ABCA6",30.9185,30.9185,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,19.122340000639
"ABCA7",1.44219,1.44219,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,0.113141385770682
"ABCA8",93.07177,93.07177,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,11.9524237179635
"ABCA9",44.49278,44.49278,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,11.6047997246377
"ABCB1",11.91703,11.91703,0.242278,0.606745,0.127132,0.325385,1,5,2,9.74587006794252
"ABCB10",14.34598,14.34598,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,2.38485637538863
"ABCB10P3",0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0.20241,0.20241,0.036736,0,0,0.0122453333333333,1,0,0,1.1878642068326
"ABCB11",0.06325,0.06325,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.374386527225902
"ABCB4",7.66637,7.66637,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,5.70363303148382
"ABCB5",0,0,0.218901,0.076822,0,0.0985743333333333,4,2,0,0.910270675053698
"ABCB6",17.10385,17.10385,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,1.11576615581128
"ABCB7",55.72667,55.72667,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,8.92467809173633
"ABCB8",6.61636,6.61636,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,0.323521986575775
"ABCB9",0.8223,0.8223,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,0.0945959381799478
"ABCC1",6.17358,6.17358,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.66106752713893
"ABCC10",5.79406,5.79406,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.100329655962153
"ABCC11",0.10121,0.10121,0.446327,0.700426,0.435039,0.527264,5,6,8,0.721034477339871
"ABCC12",0.24036,0.24036,0,0,0,0,0,0,0,1.24036
"ABCC13",0,0,0,0.032583,0.030135,0.020906,0,1,1,0.979522110752606
"ABCC2",0.22771,0.22771,1.027977,1.07924,0.751123,0.95278,20,15,18,0.628698573315991
"ABCC3",1.12592,1.12592,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,1.4385176350223
"ABCC4",2.60606,2.60606,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,0.961643780820335
"ABCC5",58.93997,58.93997,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,1.34947983537508
"ABCC6",0.55663,0.55663,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,0.96425602488376
"ABCC6P1",0.16446,0.16446,0.068151,0,0.668788,0.245646333333333,3,0,10,0.934823929424591
"ABCC6P2",0.15181,0.15181,0.199733,0,0.688996,0.296243,2,0,5,0.888575676011365
"ABCC8",1.54339,1.54339,29.752164,6.667184,22.439929,19.619759,265,116,210,0.123347222438439
"ABCC9",61.837,61.837,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,48.2347248772517
"ABCD1",0.64519,0.64519,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.189081927265154
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",4.75669,4.75669,0.010725,0,0.024448,0.0117243333333333,1,0,2,5.68997879198319
"ABCD3",69.59193,69.59193,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,5.64168578456862
"ABCD4",31.47513,31.47513,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,0.474335753556607
"ABCE1",44.60664,44.60664,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,1.12194533659688
"ABCF1",71.80581,71.80581,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,1.13823159378072
"ABCF2",34.68843,34.68843,41.126604,23.175533,34.428163,32.9101,544,392,458,1.05244248763643
"ABCF3",31.91791,31.91791,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,0.685129902140435
"ABCG1",14.34598,14.34598,4.150456,4.415328,3.848561,4.138115,183,146,140,2.98669453680971
"ABCG2",2.97293,2.97293,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0.840276837285797
"ABCG4",1.02471,1.02471,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,0.535585660613667
"ABCG5",0.06325,0.06325,0,0.053623,0,0.0178743333333333,0,2,0,1.04457884945195
"ABCG8",0,0,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,0.875281439452844
"ABHD1",11.14533,11.14533,0.539133,1.449996,2.556852,1.515327,16,11,17,4.82852925285659
"ABHD10",71.17327,71.17327,17.896254,16.509149,18.709231,17.704878,474,316,439,3.8585266367415
"ABHD11",9.04531,9.04531,8.315591,5.793527,10.881287,8.330135,88,44,86,1.0766521599098
"ABHD12",28.31244,28.31244,34.456652,32.027544,41.779576,36.087924,424,313,435,0.790349980225369
"ABHD12B",0.43013,0.43013,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,0.318763973910686
"ABHD13",8.53927,8.53927,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,2.24789291041854
"ABHD14A",3.30185,3.30185,19.98651,11.809536,18.625674,16.80724,220,94,202,0.241578706189168
"ABHD14B",13.7514,13.7514,6.270991,5.484107,6.977415,6.244171,142,105,131,2.03631305776741
"ABHD15",4.35187,4.35187,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,1.54827587636752
"ABHD16A",17.74904,17.74904,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,0.417110349578988
"ABHD16B",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ABHD2",18.11591,18.11591,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.486017844535797
"ABHD3",11.79052,11.79052,3.984849,5.25904,2.915345,4.053078,43,53,50,2.53123343831225
"ABHD4",10.93027,10.93027,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.410340436701719
"ABHD5",29.64077,29.64077,2.814933,3.503613,4.082079,3.466875,117,93,117,6.85955393871555
"ABHD6",6.11033,6.11033,11.831495,8.409419,12.306665,10.849193,138,99,156,0.600068713540238
"ABHD8",0.37952,0.37952,3.366122,1.881682,2.264601,2.504135,60,36,33,0.39368346253783
"ABI1",24.88408,24.88408,12.69711,14.372399,14.823763,13.964424,447,426,457,1.72970773883445
"ABI2",57.51043,57.51043,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,2.58757444473475
"ABI3",1.26508,1.26508,0,0.122185,0,0.0407283333333333,0,1,0,2.17643733475114
"ABI3BP",33.27154,33.27154,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,5.8023582442213
"ABL1",13.83995,13.83995,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,0.644000539041261
"ABL2",3.52957,3.52957,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.447870681955261
"ABLIM1",752.16463,752.16463,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,51.2609313466014
"ABLIM2",7.41336,7.41336,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,2.79966062541602
"ABLIM3",133.68077,133.68077,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,3.70138720977407
"ABO",0.17711,0.17711,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,1.10367651517093
"ABR",99.67548,99.67548,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,0.492838177148431
"ABRA",26.17446,26.17446,0,0,0,0,0,0,0,27.17446
"ABRACL",12.22065,12.22065,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.663750069785721
"ABT1",6.18623,6.18623,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,1.27040640625446
"ABTB1",4.75669,4.75669,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,0.9595751038665
"ABTB2",9.24772,9.24772,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,3.83161138342723
"ACAA1",53.95557,53.95557,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,1.38075878962381
"ACAA2",464.92872,464.92872,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,31.1539753561547
"ACACA",12.71403,12.71403,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,0.325205703698129
"ACACB",82.2427,82.2427,3.811888,6.196471,2.56891,4.192423,69,75,51,16.0315713877702
"ACAD10",36.26978,36.26978,21.73928,19.257871,23.277153,21.424768,392,285,343,1.66199177623599
"ACAD11",82.07824,82.07824,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,6.81216000146939
"ACAD8",42.62047,42.62047,26.483493,20.192299,24.101738,23.59251,534,375,468,1.77372988767718
"ACAD9",27.40158,27.40158,19.252462,17.316786,16.985834,17.851694,406,304,324,1.5065797269996
"ACADL",2.37835,2.37835,0.207989,0.400506,0.246715,0.28507,5,7,5,2.62892293805007
"ACADM",605.13729,605.13729,27.650351,25.508799,28.982212,27.380454,462,377,403,21.3575614399967
"ACADS",4.26331,4.26331,4.599063,3.579749,4.281652,4.153488,112,71,98,1.02131022717041
"ACADSB",53.39893,53.39893,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,14.3237943354072
"ACADVL",1863.68724,1863.68724,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,3.61980324335891
"ACAN",0.48073,0.48073,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.0869986815034398
"ACAP1",2.32774,2.32774,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,0.414360110805164
"ACAP2",9.82965,9.82965,4.317336,5.926497,4.813944,5.019259,442,447,434,1.79916664160821
"ACAP3",3.95969,3.95969,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,0.0213098584307792
"ACAT1",1020.66473,1020.66473,56.259875,44.471839,63.751794,54.827836,369,255,375,18.3002746156953
"ACAT2",7.69167,7.69167,25.297509,32.783013,27.509826,28.530116,501,530,488,0.294332402893372
"ACBD3",32.47455,32.47455,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,0.717800690018553
"ACBD4",2.70727,2.70727,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,0.815180082234766
"ACBD5",76.06913,76.06913,7.912379,6.095147,7.392269,7.133265,308,226,288,9.47579231710758
"ACBD6",51.90614,51.90614,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,2.17083892831651
"ACBD7",0.13916,0.13916,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,0.605473798643483
"ACCS",14.88997,14.88997,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.797533740617814
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",0.54398,0.54398,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,0.130320299483979
"ACE",3.12474,3.12474,1.303784,1.277742,1.252099,1.277875,41,16,21,1.81078417384624
"ACE2",58.85142,58.85142,0,0.275135,0.093605,0.122913333333333,0,1,2,53.300124082001
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0,0,0.050862,0,0,0.016954,1,0,0,0.983328646133453
"ACER2",1.63195,1.63195,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,1.34926150623575
"ACER3",7.31215,7.31215,2.862275,3.818158,3.438456,3.372963,324,261,332,1.9008050148149
"ACHE",0.20241,0.20241,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,0.0542119976260657
