"Hs_symbol","Heart","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"A1BG",0,0,18.566797,13.425058,13.989052,15.326969,182,164,192,0.0612483554050969
"A1CF",0,0,0.232084,0.063162,0.004811,0.100019,1,5,1,0.90907520688279
"A2M",723.94074,723.94074,20.514891,0.866071,0.291101,7.224021,519,12,14,88.1491839575799
"A2ML1",0.46808,0.46808,0.466725,0.673839,0.170052,0.436872,5,14,11,1.02171940158901
"A2MP1",2.11268,2.11268,0.061885,0.170176,0.221341,0.151134,2,2,6,2.70401187003425
"A4GALT",7.94469,7.94469,13.724676,11.545392,14.652328,13.3074653333333,285,366,484,0.625176423049636
"A4GNT",0.10121,0.10121,0.153016,0.028124,0,0.06038,4,1,0,1.03850506422226
"AAAS",40.00176,40.00176,13.508489,16.738215,19.022055,16.4229196666667,343,455,490,2.35332313897102
"AACS",7.10974,7.10974,15.145339,10.858128,8.980095,11.6611873333333,461,652,560,0.640519706919535
"AACSP1",0,0,0.721078,1.223639,1.219131,1.054616,29,62,70,0.486708951940411
"AADAC",0.11386,0.11386,0,0,0,0,0,0,0,1.11386
"AADACL2",0,0,0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0.011945,0,0.00398166666666667,0,1,0,0.996034124129093
"AADACL4",0.06325,0.06325,0.043998,0,0,0.014666,1,0,0,1.04788176601956
"AADAT",4.46572,4.46572,16.560745,15.539194,12.933418,15.011119,429,514,491,0.341370268998688
"AAGAB",32.38599,32.38599,41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,0.813089430244203
"AAK1",11.08208,11.08208,11.518232,13.289394,13.438405,12.748677,2499,3549,3550,0.878781282009898
"AAMP",28.35039,28.35039,72.348646,70.27047,54.966626,65.861914,935,1376,1193,0.438970233487483
"AANAT",0.08856,0.08856,0.253842,0.182542,0.515652,0.317345333333333,1,1,6,0.826328505104711
"AAR2",11.34775,11.34775,9.862522,12.742074,9.815474,10.80669,384,679,543,1.04582656104293
"AARD",0.11386,0.11386,0.160926,0.129803,0.240983,0.177237333333333,5,6,12,0.946164353152239
"AARS2",2.13798,2.13798,4.02726,4.870429,3.692426,4.196705,318,528,425,0.603840318047686
"AARSD1",28.29979,28.29979,57.596898,71.665882,48.347544,59.2034413333333,392,756,544,0.486679654037939
"AASDH",8.52662,8.52662,5.317648,4.075445,5.487073,4.96005533333333,154,175,182,1.59841133465987
"AASDHPPT",40.52044,40.52044,104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,0.404317459667862
"AASS",43.22771,43.22771,2.628604,2.250706,1.439504,2.10627133333333,225,282,185,14.2381991957346
"AATF",24.35275,24.35275,16.465887,17.429714,15.691305,16.5289686666667,276,428,414,1.44633437837168
"AATK",0.83495,0.83495,16.385879,16.887406,16.473264,16.582183,581,867,1089,0.104364173663759
"ABAT",46.07413,46.07413,59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,0.841436812039705
