"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,14.4996,14.4996,0.0645177940075873
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,162.84087,162.84087,0.013889586890011
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,72.86389,72.86389,0.0348323382372632
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.02091,0.02091,1.00136218341153
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,30.26413,30.26413,0.913793069992139
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,31.73813,31.73813,3.91189799173013
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,3.94113,3.94113,0.22563576887608
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,29.97142,29.97142,0.782658033330944
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,5.18515,5.18515,7.44663314551789
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.03494,1.03494,0.547629905550041
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,18.44073,18.44073,0.787288423154206
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,4.22339,4.22339,0.530807323723993
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,8.61404,8.61404,0.588877724661017
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,51.0779,51.0779,0.537949360477285
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,3.3348,3.3348,1.62436506105626
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,24.47265,24.47265,0.362161691068656
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,7.33866,7.33866,0.333016016162469
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,42.6834,42.6834,0.157364918176393
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,173.04391,173.04391,0.312704583190146
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,14.94912,14.94912,5.45440465262869
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,3.21981,3.21981,1.06598448745323
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.31362,0.31362,0.767811848175271
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,3.9934,3.9934,0.223699016034499
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,190.96195,190.96195,0.325512158355688
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,75.62373,75.62373,0.129671460786365
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.33453,0.33453,1.47821729997327
