"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.87899,8.87899,0.10122492279069
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,91.00966,91.00966,0.0247330769399648
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,3.21552,3.21552,0.610328500398527
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.14522,0.14522,0.892667493290954
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,41.49062,41.49062,0.672358871989473
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,19.77028,19.77028,6.16593637639935
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,9.04495,9.04495,0.110990663633633
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,13.06954,13.06954,1.72287300556142
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,24.23052,24.23052,1.82550906600419
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.70112,1.70112,0.41256737945741
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,10.64234,10.64234,1.31463792215883
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,3.92086,3.92086,0.56344087551092
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,13.38072,13.38072,0.393686407912817
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,16.24358,16.24358,1.62467846004136
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,2.40646,2.40646,2.06704252117056
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,24.45872,24.45872,0.362359851555773
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,13.17327,13.17327,0.195925663825873
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,41.20018,41.20018,0.162895861265679
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,483.11672,483.11672,0.112419848530192
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,82.52483,82.52483,1.0415220759304
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,2.48944,2.48944,1.28910426887982
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.37342,0.37342,0.734380597340945
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,10.01998,10.01998,0.101363039376357
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,1729.4948,1729.4948,0.0361087179612829
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,41.46987,41.46987,0.23395199938215
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.04149,0.04149,1.89413756573115
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,15.64196,15.64196,0.3577135545733
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,9.25241,9.25241,0.13970656655362
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,20.53785,20.53785,0.116349620164811
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,43.39918,43.39918,0.0571319410253372
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,3.17403,3.17403,0.522221290535366
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,22.50866,22.50866,1.65393229558809
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,4.64695,4.64695,1.32815549396872
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0.14522,0.14522,0.919608750574853
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,2.38571,2.38571,0.599496019052626
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,42.36192,42.36192,0.23068557234858
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,9.43911,9.43911,0.789144253357486
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,23.23474,23.23474,0.947407949634836
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,23.31773,23.31773,0.540966447114924
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,2.15751,2.15751,1.80428291069017
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,32.79833,32.79833,0.0663582983735192
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.85056,0.85056,0.595395267738774
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.47714,0.47714,0.682155832667633
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,3.25701,3.25701,0.391014741958949
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,24.9566,24.9566,2.06182995204816
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.18671,0.18671,1.03831348855238
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,2.36497,2.36497,0.622961670782602
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,4.41875,4.41875,0.564071295655517
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.6846,0.6846,10.1624878309391
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,18.04842,18.04842,1.12232396877711
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,110.40653,110.40653,0.0425337425612903
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,12.79985,12.79985,1.4850035809568
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,50.45259,50.45259,0.584799793363172
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,18.83674,18.83674,1.66894587181832
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,38.0054,38.0054,5.3178980004478
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,17.71649,17.71649,0.866016081719026
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,17.34308,17.34308,0.925887528157758
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.10373,0.10373,0.938278987312718
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0.18671,0.18671,0.851443065281324
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,7.0949,7.0949,0.273001313584273
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,14.95737,14.95737,0.561941890591411
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,16.18134,16.18134,1.07396989990303
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,147.18796,147.18796,1.887851010298
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,1.72186,1.72186,2.76039975115056
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,73.3969,73.3969,0.207406733345072
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,11.78333,11.78333,0.735420504672883
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,2.28198,2.28198,0.409196785680189
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,50.39035,50.39035,1.07538553444372
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,4.23204,4.23204,0.193730170258637
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,9.37688,9.37688,1.19649326194386
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,4.41875,4.41875,7.71102093041138
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,21.57512,21.57512,1.67781954942728
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,4.89589,4.89589,3.18542329204468
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,33.79411,33.79411,0.569711798922289
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,42.59012,42.59012,2.08043514600709
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,26.90666,26.90666,2.69895279478089
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,41.15869,41.15869,1.13217645836086
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,5.29005,5.29005,0.6243675328495
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,41.69807,41.69807,0.26828987820761
