"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,16.26198,16.26198,0.0579307819844537
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,200.41955,200.41955,0.0112982180726747
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,6.95168,6.95168,0.323560807275947
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0,0,1.02230066666667
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,45.86871,45.86871,0.609552627613035
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,9.62064,9.62064,12.0584282114825
"AADAC","Aadac",0,0,0,0,0,0,0,0.46551,0.46551,0.682356312819428
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,6.67238,6.67238,0.145312884224539
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,10.5827,10.5827,2.09277894330913
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,15.29991,15.29991,2.82569308664894
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,0.24827,0.24827,0.892750767061613
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,9.86891,9.86891,1.40818735886733
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,1.0862,1.0862,1.32902582047103
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,9.43443,9.43443,0.54257817628754
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,4.28273,4.28273,5.30318093107162
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,2.54481,2.54481,1.98636814573042
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,19.98609,19.98609,0.439587269472303
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,11.73097,11.73097,0.218122211687981
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,73.61338,73.61338,0.0921313934131742
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,251.03651,251.03651,0.215938271535871
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,65.91687,65.91687,1.30001529260608
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,3.19653,3.19653,1.071897972849
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.43448,0.43448,0.70312099157883
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,11.82407,11.82407,0.0871032883216223
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,1386.02317,1386.02317,0.0450504000352544
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,35.31704,35.31704,0.273588128327639
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,2.54481,2.54481,0.556510880225833
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,14.95854,14.95854,0.373032537228761
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,19.48954,19.48954,0.0699053761089805
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,38.79288,38.79288,0.0629740965385432
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,53.1928,53.1928,0.0468071650354537
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,5.27583,5.27583,0.347327338907098
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,34.57222,34.57222,1.0930364199929
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,5.12066,5.12066,1.22536256983179
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0,0,1.05315433333333
