"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,"A1bg",0,0,0,0,0,0,0,6.684526
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,"A1cf",0,0,0,0,0,0,0,1.04324533333333
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,"A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,3.63630156700861
"A3GALT2",0,0,0,0,0,0,0,"A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,0.937478613769123
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,"A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,6.68404961672655
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,"Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.65495529473785
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,"Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.0538579641997723
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,"Aadac",0,0,0,0,0,0,0,1.13239333333333
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
