"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,18.566797,13.425058,13.989052,182,164,192,9.26790433333333,0.0973908567450943
"A1CF","A1cf",0,0,0,0,0,0,0,0.232084,0.063162,0.004811,1,5,1,16.220613,0.058069942109494
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,20.514891,0.866071,0.291101,519,12,14,2.97925533333333,0.354069681044175
"A3GALT2","A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,0.438529,0.497281,0.204317,5,8,4,11.568825,0.0848858982442671
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,13.724676,11.545392,14.652328,285,366,484,13.5687636666667,0.164254820890659
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.153016,0.028124,0,4,1,0,8.37407766666667,0.113001944049038
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,13.508489,16.738215,19.022055,343,455,490,30.1619223333333,0.836852330686873
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,15.145339,10.858128,8.980095,461,652,560,16.2866656666667,6.73223594671631
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0,0,0,0,0,0,15.380365,0.0631992429147133
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0.011945,0,0,1,0,13.2169563333333,0.0703385433952119
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,16.560745,15.539194,12.933418,429,514,491,16.745054,0.0622918927155702
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,41.413864,42.849994,35.918127,993,1426,1315,96.488751,0.210831757057454
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,7.68951241259015
"AAMDC","Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,9.532266,5.352023,7.306193,48,40,51,19.3151253333333,1.36814605918585
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.253842,0.182542,0.515652,1,1,6,0,1.38593866666667
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,9.94761653448283
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.160926,0.129803,0.240983,5,6,12,10.131919,0.205851449931199
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,4.02726,4.870429,3.692426,318,528,425,22.3376433333333,0.309116815993846
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,57.596898,71.665882,48.347544,392,756,544,10.569663,2.12439964759561
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,5.317648,4.075445,5.487073,154,175,182,43.666992,0.178120202646882
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,104.747918,110.344793,89.985303,3116,4632,3686,139.696805,0.0688599834706031
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,2.628604,2.250706,1.439504,225,282,185,28.594794,0.075279670246508
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,16.465887,17.429714,15.691305,276,428,414,30.1587223333333,0.196570479831506
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,1.36311725454166
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,68.870573887979
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,4.587007,4.124422,3.096802,771,969,758,13.6558153333333,0.423698501841567
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.0651975840465339
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,4.66571,1.657589,2.029971,35,13,40,0.368363333333333,0.867822142754483
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,0.741634996409981
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,0.424203534604498
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.709647,0.545438,0.159905,39,1,1,28.3998213333333,0.0612074127797421
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,10.668791,9.107596,7.662206,513,604,633,3.178246,2.18063273440578
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,0.332708,0.201177,0.26943,9,14,15,116.877734,0.0134295845897411
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,42.45405,52.111696,39.796489,1395,2369,1835,0.296992,2.53423639724326
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,0.244206,0.413915,0.141469,6,7,6,217.002767,0.0186016064037695
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,4.035468,0.682386,0.739211,21,27,35,71.051303,0.0381004583174112
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,2.608253,0.395444,0.72192,71,28,37,5.47972433333333,4.48455461556929
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,4.784184,6.526598,5.638334,213,397,298,3.46895066666667,1.38049469032701
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,1.713152,2.345963,2.257067,8,17,14,37.9252723333333,0.0257554866860833
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,2.613821,0.236469,0.112046,20,11,9,0.290904,1.67915713846008
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.031732,0.170177,0.033162,3,5,1,251.873522,0.00396733773758514
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,39.80428,30.533985,38.474452,602,671,937,98.0426783333333,0.0804077373580719
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,6.507055,5.040312,4.209266,171,274,200,0.332785333333333,6.49589031091779
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,20.8561545066022
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,13.522164,13.523465,13.352624,392,512,531,2.804119,4.27351159799855
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,11.500209,10.367327,9.302465,903,1271,1197,0.078357,10.4317113905692
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,36.128396,35.014973,37.78168,526,739,582,0.110797333333333,2.41238425731427
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0,0,0,0,0,0,24.0371986666667,0.0581901628078839
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.861807629428659
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.735677,0.386222,0.301105,6,5,4,0.037753,1.76660309983847
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,7.59263621226798
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.0764006259449013
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,2.011239,0.868414,0.975146,245,158,167,0,2.43880766666667
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,10.618352,6.729346,8.415782,351,364,475,10.3287653333333,0.337351796147483
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,1.015291,0.95263,0.78988,101,128,108,3.89511266666667,4.59864362672483
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,20.2891230175121
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,58.610022,52.354869,50.095508,722,999,947,2.48702933333333,1.48421798956284
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,47.293811,49.347163,47.386876,1200,1864,1735,92.46756,0.233960877264083
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,2.13604424296259
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,19.522918,29.608502,27.332976,499,751,734,2.73144,7.60735051347469
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,46.460597,40.982435,31.451225,710,879,744,116.286335333333,1.43260782132716
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,2.981022,2.516257,2.216058,133,150,148,38.8820083333333,0.496700755415819
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,0,0.032841,0.010415,0,3,1,20.899473,0.881712085035106
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.010767474863849
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0.375379,0.464493,0.42013,27,45,55,17.679678,0.0544204955424464
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,0.400221,0.717874,0.22597,14,18,14,28.059534,0.0613921406998474
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,22.938499,24.352688,21.626771,576,818,829,45.387708,0.169747964266741
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,6.937606,7.064101,6.864255,76,110,135,0.109443,13.511409779502
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,64.546737,62.306897,62.683147,766,1044,1187,0.054446,221.062347747854
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,2.367033,2.196661,1.88721,196,246,214,20.067703,0.385279195680073
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,22.540257,19.428712,18.954588,283,320,352,4.60419966666667,3.0904315864549
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,3.320588,2.072545,1.528819,54,55,44,41.663942,0.172431948896487
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,0.626613,0.218831,0.501833,33,16,41,157.985373333333,0.00851330097200556
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,23.1235679747011
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,0,0,0,0,0,0,14.1934193333333,0.0658179688232568
"ABHD17A","Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,15.282057,19.663938,28.463204,503,831,1086,30.240615,1.71206560220832
"ABHD17B","Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,10.201998,14.689547,11.447473,457,762,669,48.3995476666667,0.26777357198878
"ABHD17C","Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,22.112876,26.685209,23.848278,525,820,771,9.06215266666667,1.1888254991692
"ABHD18","Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,4.011071,3.517854,4.147912,213,284,273,0.334188666666667,4.86839992145039
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,1.43552009646509
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,1.597983,1.039653,1.180823,33,27,32,119.859511333333,0.249420033233407
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,25.455379,4.883742,6.507743,182,133,112,2.82895033333333,6.84841197992383
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,10.403327,7.362645,6.909279,314,407,402,29.3573956666667,0.526961464096607
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,11.668832,13.764524,17.829011,180,342,395,5.16011933333333,2.85444805777031
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,9.661101,10.705984,15.55678,265,375,569,0.081767,60.7705796781254
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,25.555257,19.141618,16.288946,935,970,821,89.80118,0.90408579859131
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,3.04156824436318
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.107534,0.068506,0,1,1,0,8.975152,0.426124099829924
"ABITRAM","Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,8.026917,12.043578,11.681156,142,241,232,8.31248266666667,0.724894449915397
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,2.03734220904385
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,4.651018,3.942953,3.604234,834,1003,998,0,10.6330433333333
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,6.86703199082612
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,29.024891,22.325349,27.889239,811,842,921,50.140693,2.29319401283827
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,59.162438,43.070208,35.850085,2210,2652,2304,5.862563,0.872629948898101
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.94183,1.656334,1.424069,43,107,83,112.418891,0.00888416668906887
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,0.0823262790939897
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.023562,0,0.016861,1,0,1,2872.900966,0.000381290452581309
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,17.048097,16.217016,13.732567,152,196,170,8.861323,4.19469726999781
"ABRAXAS1","Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,2.109371,2.159075,1.935205,56,86,86,6.40802166666667,0.521027723776006
"ABRAXAS2","Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,10.186842,8.464947,8.190416,471,532,542,50.0583233333333,0.249562640684702
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,3.263841,4.270345,3.155402,152,271,212,0.763368333333333,1.60684126307512
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,3.761994,3.647191,4.428543,98,109,136,13.421852,1.57084869081539
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,1.172037,1.371578,1.223632,92,149,130,0.025777,3.08986586103347
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,39.895704,46.043135,40.381622,585,998,977,10.1953486666667,0.130606294054382
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,13.144815,9.897038,9.823666,271,275,335,67.633482,0.222192787285172
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,8.39024329449749
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,5.011705,4.261474,2.549066,60,56,49,1.25951366666667,0.918266482418562
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,12.856185,11.636386,10.582543,221,279,250,2.986488,0.562938522997352
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,18.399625,10.629317,9.67092,358,253,310,18.472337,0.459117464945271
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,23.137744,24.865645,22.47821,569,801,726,0.327960666666667,8.98414737183481
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,23.83761193769
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.160831,0.314712,0.317482,8,12,13,15.6034853333333,1.00617549054359
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,40.0764367231459
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,3.004861,4.19166,2.473391,78,146,97,17.87264,0.245779781383703
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,3.572105,3.466148,3.181139,336,406,350,0.225601,96.5588556145108
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,223.022625,188.605112,238.198574,1342,1537,1988,13.334388,1.32666296368332
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.292759,0.315011,0.284229,25,26,39,3.637669,0.337098874456111
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,11.286318,12.913279,6.490646,45,54,54,2.00352533333333,0.364730290272231
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,11.321554,4.989484,5.03907,561,490,425,44.8669356666667,0.966753290916383
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,6.50308778256263
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,119.603573,70.690947,60.766009,2428,1983,1817,33.018719,0.602760919167278
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,0.09461650403265
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,28.434973,21.567845,22.642447,1235,1449,1480,45.053605,0.65046168119376
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,45.008644,45.056697,44.61445,636,975,991,0.246467,27.3987486231084
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.034596,0.949647,0.691054,40,52,53,6.32523966666667,0.197191727833797
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,5.273883,5.411674,5.203006,72,100,76,4.16365833333333,0.536702757573361
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0,0,0,0,0,0,1.063928
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,12.408905,8.62736,10.509139,165,217,228,8.747789,1.48168529978097
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,5.405634,2.557996,4.848241,108,104,195,8.71978533333333,0.559621309880781
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.05341,0,0.099057,1,0,1,0.112139,1.29017505905287
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.145606,0.072291,0.066789,3,2,2,0,1.01664366666667
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.989215,1.238033,0.764366,43,73,48,97.1317866666667,0.0483965881799224
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,5.100368,4.487993,5.453281,507,602,712,2.69759466666667,1.4961724667135
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,1.00376100297598
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,8.02400580569751
"ACKR1","Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,5.527193,8.511619,6.913666,150,313,243,202.534186,0.670598115967932
"ACKR2","Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.648149,0.227417,0.267559,15,14,12,0.24665,2.13826628698245
"ACKR3","Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,1.953183,0.627658,0.254604,33,11,7,9.87020466666667,0.376534830040305
