"Hs_symbol","DRG","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",14.4996,14.4996,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,1.14105238959469
"A1CF",0,0,0,0.018194,0.01632,0.0115046666666667,0,2,2,0.988626185280411
"A2M",162.84087,162.84087,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,1.5608862143555
"A2ML1",1.18129,1.18129,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,1.39354946698442
"A2MP1",0.39725,0.39725,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,1.13773431884952
"A4GALT",72.86389,72.86389,1.677651,1.425484,2.068745,1.72396,11,6,11,27.1163636764123
"A4GNT",0.02091,0.02091,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,0.964848141944414
"AAAS",30.26413,30.26413,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,1.27403136284005
"AACS",31.73813,31.73813,20.326116,20.425959,26.161884,22.304653,720,608,707,1.40478942123704
"AACSP1",0,0,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.552498804760919
"AADAC",0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0.013978,0.017282,0.015789,0.015683,1,1,1,0.98455915871389
"AADACL3",0,0,0,0,0,0,0,0,0,1
"AADACL4",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"AADAT",3.94113,3.94113,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,0.39900921912346
"AAGAB",29.97142,29.97142,19.083715,24.987378,20.768264,21.613119,460,421,405,1.36962176690442
"AAK1",5.18515,5.18515,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,0.573811134220369
"AAMP",123.36683,123.36683,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,2.18231899521416
"AANAT",1.03494,1.03494,0.527125,0,0.383865,0.303663333333333,5,0,3,1.56093981319308
"AAR2",18.44073,18.44073,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.84082731601832
"AARD",4.22339,4.22339,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,3.40378091444504
"AARS2",8.61404,8.61404,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,1.59655709281459
"AARSD1",51.0779,51.0779,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.691443053372076
"AASDH",3.3348,3.3348,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,0.915659019745491
"AASDHPPT",24.47265,24.47265,49.305585,36.802533,43.42734,43.178486,1280,906,1184,0.576584946799671
"AASS",7.33866,7.33866,9.710755,9.041474,7.927698,8.893309,771,591,561,0.842858542071212
"AATF",42.6834,42.6834,15.593698,15.462792,19.291505,16.782665,279,197,205,2.4565159384153
"AATK",173.04391,173.04391,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,39.8384348635393
"ABAT",14.94912,14.94912,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,0.95774724458329
"ABCA1",3.21981,3.21981,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.30450841397517
"ABCA10",17.14445,17.14445,5.207727,2.056644,5.225361,4.163244,145,54,111,3.5141569912249
"ABCA11P",2.91665,2.91665,4.636006,3.841444,3.107302,3.861584,111,76,68,0.805632485214695
"ABCA12",0.04182,0.04182,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.999783758608071
"ABCA13",0.31362,0.31362,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,1.12498319316456
"ABCA17P",3.9934,3.9934,1.321805,0.403783,0.722064,0.815884,13,4,7,2.74984525443255
"ABCA2",190.96195,190.96195,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,4.64952374716417
"ABCA3",75.62373,75.62373,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,3.44237840745141
"ABCA4",0.33453,0.33453,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.660221645449405
"ABCA5",12.96287,12.96287,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,1.78134427957308
"ABCA6",12.28337,12.28337,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,7.95805308815541
"ABCA7",45.76731,45.76731,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,2.16662842046159
"ABCA8",65.06526,65.06526,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,8.3940164042563
"ABCA9",5.22697,5.22697,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,1.58844413863755
"ABCB1",8.45723,8.45723,0.242278,0.606745,0.127132,0.325385,1,5,2,7.13545875349427
"ABCB10",3.61706,3.61706,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,0.717518527754619
"ABCB10P3",0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0.01045,0.01045,0.036736,0,0,0.0122453333333333,1,0,0,0.998226385171447
"ABCB11",0,0,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.352115238397275
"ABCB4",0.57497,0.57497,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,1.03654135648444
"ABCB5",0.01045,0.01045,0.218901,0.076822,0,0.0985743333333333,4,2,0,0.91978300360801
"ABCB6",58.67791,58.67791,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,3.6780349056997
"ABCB7",7.97635,7.97635,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,1.41222874864252
"ABCB8",33.23304,33.23304,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,1.45412521300568
"ABCB9",31.39315,31.39315,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,1.68153455240837
