"Hs_symbol","DRG","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"A1BG",14.4996,14.4996,6.574087,5.356817,5.122674,5.684526,51,37,35,2.31872835860015
"A1CF",0,0,0.063683,0.066053,0,0.0432453333333333,4,2,0,0.958547302392278
"A2M",162.84087,162.84087,47.469149,41.973869,31.55372,40.332246,2028,1448,1149,3.96399629480576
"A2ML1",1.18129,1.18129,0.229587,0.095002,0,0.108196333333333,6,4,0,1.96832450567574
"A2MP1",0.39725,0.39725,0.062851,0.01158,0.048479,0.04097,2,1,1,1.34225770195107
"A4GALT",72.86389,72.86389,33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,2.25025443504909
"A4GNT",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"AAAS",30.26413,30.26413,17.868209,17.289999,16.874782,17.34433,598,489,514,1.7042939153406
"AACS",31.73813,31.73813,6.792635,7.2732,5.012077,6.359304,382,296,228,4.44853616592004
"AACSP1",0,0,0.016684,0.017346,0.035141,0.023057,1,1,2,0.97746264382141
"AADAC",0,0,0.114227,0.093886,0.189067,0.132393333333333,3,2,4,0.883085382582024
"AADACL2",0,0,0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,0,0,1
"AADACL4",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"AADAT",3.94113,3.94113,2.803781,1.273732,1.256284,1.77793233333333,72,50,52,1.77870783269619
"AAGAB",29.97142,29.97142,13.5382,8.893211,8.17232,10.2012436666667,443,347,312,2.76499832712028
"AAK1",5.18515,5.18515,8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,0.852732665027113
"AAMP",123.36683,123.36683,48.914554,44.434024,32.481351,41.9433096666667,986,865,668,2.89606998075734
"AANAT",1.03494,1.03494,0.384486,0.191591,0.957074,0.511050333333333,4,2,7,1.34670563588109
"AAR2",18.44073,18.44073,9.629091,8.985329,7.802869,8.805763,494,440,373,1.98258207953833
"AARD",4.22339,4.22339,0.509473,0.537165,0.417107,0.487915,11,13,17,3.51054327700171
"AARS2",8.61404,8.61404,2.873718,2.217694,1.513002,2.20147133333333,289,218,155,3.00300674252484
"AARSD1",51.0779,51.0779,42.269472,45.211996,38.782538,42.088002,410,412,304,1.20864040063867
"AASDH",3.3348,3.3348,1.51679,1.429238,0.686802,1.21094333333333,72,62,45,1.96061108154438
