"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,80,113,74,6.82626466666667,12.383067,11.034331,14.333404,126,71,81,21.339172,0.350338171292413
"A1BG.AS1",2.993404,4.426786,4.406824,63,111,64,0.0226663333333333,6.440296,4.571839,4.757617,156,94,113,4.04482766666667,0.202715811303234
"A1CF",0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0,0.018194,0.01632,0,2,2,25.9035856666667,0.693240803081552
"A2M",40.625779,51.799758,89.320033,783,1285,1315,3.348799,93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,1.14355810528899
"A2M.AS1",0.985994,1.245013,1.84604,28,48,47,0.941269666666667,1.34759,0.843674,1.358533,46,17,41,2.850321,0.504183850298888
"A2ML1",0.729893,0.415146,1.694227,8,7,12,0.0503363333333333,0.645592,0.320555,0.729682,6,8,9,0.0117503333333333,1.03813786734606
"A2MP1",0.092784,0.262009,0.132758,2,3,1,0.473548666666667,0.165659,0.426102,0.092535,3,3,1,3.729439,0.311569441252264
"A3GALT2",0.55418,0.27785,0.327994,5,3,2,10.551188,0.251325,0.112836,0.205214,3,1,2,31.34975,0.357071940277746
"A4GALT",10.846069,12.300869,12.113367,217,235,152,16.06117,1.677651,1.425484,2.068745,11,6,11,15.4402076666667,1.03777095435311
"A4GNT",0,0,0,0,0,0,10.3202566666667,0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.769718396432794
"AA06",0,0,0,0,0,0,7.99269266666667,0,0,0,0,0,0,1.85247766666667,3.15259003488546
"AAAS",15.794751,14.437361,18.892936,243,314,228,20.6681063333333,22.626138,22.03279,25.95966,485,382,454,4.99417633333333,3.61485967852464
"AACS",16.816166,15.213942,17.768125,515,633,467,21.5908253333333,20.326116,20.425959,26.161884,720,608,707,18.556026,1.15518486901855
"AACSP1",0.49208,0.549654,1.355209,14,22,27,4.763057,1.03341,0.522627,0.873839,38,18,33,2.101905,1.85790893015744
"AADAC",0,0,0,0,0,0,17.7200676666667,0,0,0,0,0,0,6.87484866666667,2.37719713216923
"AADACL2",0.015844,0,0,1,0,0,9.67679533333333,0.013978,0.017282,0.015789,1,1,1,5.63401333333333,1.60940215173922
"AADACL3",0.019721,0.018105,0,1,1,0,16.5164316666667,0,0,0,0,0,0,10.766603,1.48865663834045
"AADACL4",0,0,0,0,0,0,95.1721943333333,0,0,0,0,0,0,35.3640196666667,2.64470746674604
"AADACP1",0,0,0,0,0,0,10.168884,0,0,0,0,0,0,18.972467,0.559214042010934
"AADAT",23.254813,19.782313,24.720589,444,388,330,18.9848223333333,11.191628,12.930531,10.028336,298,198,233,23.18006,0.826500113454364
"AAGAB",38.022919,40.964417,49.3614,824,823,659,98.15076,19.083715,24.987378,20.768264,460,421,405,37.2516393333333,2.59206564027173
"AAK1",10.270345,12.426278,11.917593,2058,2373,1545,14.523083,8.82358,11.990978,8.52265,1360,1207,1223,21.7024766666667,0.683761654198375
"AAMDC",4.594566,5.205604,4.56697,17,27,14,11.0918973333333,11.840577,16.196803,14.120167,61,65,52,175.753678,0.0684110083035066
"AAMP",70.693659,74.272111,74.414188,751,872,576,2.069134,50.785242,57.93435,59.245556,665,551,649,0.755233,1.74856215670512
"AANAT",0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,0.527125,0,0.383865,5,0,3,0.146671333333333,0.954182163212126
"AAR2",12.288203,12.652486,12.834718,390,432,284,0.112956333333333,9.802296,9.159607,9.720694,356,271,317,1.12813166666667,0.522973437577092
"AARD",0.417513,1.538506,1.037211,12,14,10,15.675252,0.430968,0.085659,1.087127,14,2,11,4.09296266666667,3.27417518866556
"AARS1",48.075378,54.153052,52.673665,1568,1900,1189,41.527064,28.854614,28.801712,24.508809,1167,916,940,33.34819,1.23811659362546
"AARS2",3.755461,4.640839,4.294325,242,329,196,31.1199893333333,5.386935,4.813326,4.864937,386,295,304,55.302048,0.570494155618164
"AARSD1",63.27632,66.968262,84.250953,365,428,308,13.0359566666667,74.878567,67.118873,80.955658,446,311,417,10.9592553333333,1.17364804709413
"AASDH",3.182292,4.853213,4.954761,105,133,96,9.05523233333333,5.458335,2.72435,3.019545,133,107,128,1.503734,4.0160944945962
"AASDHPPT",129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,49.305585,36.802533,43.42734,1280,906,1184,323.327237666667,0.44577875843387
"AASS",4.313875,2.742641,4.506,299,175,207,43.404743,9.710755,9.041474,7.927698,771,591,561,7.66031,5.12738493194816
"AATBC",0.131754,0.373232,0.069659,8,6,3,0.566942333333333,0.270135,0.323838,0.313939,9,8,8,1.518894,0.622075535267992
"AATF",14.476301,19.209898,14.950782,208,297,163,72.099048,15.593698,15.462792,19.291505,279,197,205,19.5606413333333,3.55529026623748
"AATK",14.223841,16.332434,12.634368,449,556,369,49.9149603333333,5.175648,2.801113,2.12947,197,66,153,13.7411343333333,3.45393774875262
"ABALON",0.555463,1.470344,1.275691,13,38,21,19.0329923333333,0.221339,0.4943,0.206463,6,11,5,15.5915,1.20742502687119
"ABAT",28.063871,26.832749,35.879571,1227,1323,1029,0.639692,19.311736,14.714566,12.931931,1137,753,789,0.501137666666667,1.09229955147352
"ABCA1",4.057191,3.554462,2.51638,570,529,255,13.8334303333333,13.944394,12.167811,12.461129,2286,1610,1812,15.6002666666667,0.89356578609179
"ABCA10",2.244064,0.973671,2.240683,34,37,31,2.05316766666667,5.207727,2.056644,5.225361,145,54,111,12.1603086666667,0.231998180589787
"ABCA11P",2.783632,1.968935,3.820819,61,48,58,19.92491,4.636006,3.841444,3.107302,111,76,68,17.1830653333333,1.15079111340156
"ABCA12",0.083238,0.230357,0.054846,9,24,5,191.572524333333,0.045246,0.050407,0.030483,6,6,4,227.11408,0.844193941616113
"ABCA13",0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.064986,0.353211,0.084842,4,8,5,4.59273066666667,4.24426344626406
"ABCA17P",2.031216,2.837622,4.432733,10,18,15,0.140757,1.321805,0.403783,0.722064,13,4,7,0.592088666666667,0.716515998062084
"ABCA2",107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,50.768809,33.180849,36.909447,1020,646,751,53.3607073333333,1.9889103540117
"ABCA3",51.9705,59.537578,54.006441,4138,4756,3097,28.249626,21.599438,17.726576,24.450837,1930,1121,1708,14.5759906666667,1.87786617403383
"ABCA4",0.905126,0.080781,0.014008,7,3,1,29.9432906666667,1.22204,0.556301,1.285668,23,10,13,25.8367566666667,1.15301901235706
"ABCA5",15.166472,15.375498,16.666334,612,687,561,6.02759666666667,6.679427,7.075997,6.759744,323,230,276,208.214448333333,0.0335903983814247
"ABCA6",0.380325,0.502694,0.140608,12,17,6,133.001987666667,1.179883,0.523131,0.304506,17,18,12,94.9927196666667,1.3959599033342
